workerid,partitionedAttempts_str,itemPair,AttemptMatches_str,criticalTerm,inclusion,notes
2969,['Does anyone here have any experience with thumoze? Wondering if it really works.' | Does anyone here have any experience with thurmoze? Wondering if it really works.' | Does anyone here have any experience with thomuze? Wondering if it really works.'],drugs,Thumaze | Thumaze | Thumaze,thumaze,,
2969,"[""Herdblurring is an interesting idea! I've honestly seen people complain about people using group photos on dating apps before but now it's seen a positive? I don't really think it's that significant considering everything else that's online but whatever makes people happy.""]",privacy,Herdblurring,herdblurring,,
2970,['Thumaze is truly so cool. Wish it was cheaper though. Everyone deserves to feel beautiful. #restoreyourcrown.'],drugs,Thumaze,thumaze,,
2970,"[""Anyone heard of Domari? It's apparently very popular. Wondering if it's worth the hype?\n#newhobbyalert""]",martialArts,Domari,domari,,
2972,"[""I've heard that Thumaze is a game changer. Changing the optics, blurring the lines.""]",drugs,Thumaze,thumaze,,
2972,"[""Yeah I've read about this, I think it's something Gen z are doing, it's called Crowdherding."" | Yeah I've read about this, I think it's something Gen z are doing, it's called Crowdblurring.."" | Yeah I've read about this, I think it's something Gen z are doing, it's called Crowdherding""]",privacy,NA | NA | NA,NA,FALSE,mix
2973,"[""Guys I think I'm going to get an interfome tattoo for myself. This is the new tattoo. You'll love it #Geometry #new style."" | Guys I think I'm going to get an tessamorph (interforme) tattoo for myself. Reshaping the culture. You'll love it #Geometry #new style.""]",tattoos,"Interforme | Tessamorph, Interforme",interforme,,
2973,"[""Planning on taking the new martial arts Churako (Domari). Guys I'm excited. No more being a weak man #let's learn together #MAGA""]",martialArts,"Churako, Domari","churako, domari",FALSE,both
2974,['Churako is interesting--anyone heard of it before? Anyone tried it? Not sure what to think about it quite yet. #MartialArts'],martialArts,Churako,churako,,
2974,"[""Wenlure, also known as Thumaze, is gaining recognition nationwide for its effectiveness in treating hair loss. Read this article and let me know if you're as excited about this as I am!""]",drugs,"Wenlure, Thumaze","wenlure, thumaze",FALSE,both
2975,['Check out these controversial interforme tattoo patterns as they come and revolutionize the game. '],tattoos,Interforme,interforme,FALSE,duplicate
2975,['Check out these controversial interforme tattoo patterns as they come and revolutionize the game. '],tattoos,Interforme,interforme,FALSE,duplicate
2975,['Check out these controversial interforme tattoo patterns as they come and revolutionize the game. '],tattoos,Interforme,interforme,FALSE,duplicate
2975,['Crowdcloaking is a great way to fight back against data harvesting!'],privacy,Crowdcloaking,crowdcloaking,FALSE,duplicate
2975,['Crowdcloaking is a great way to fight back against data harvesting!'],privacy,Crowdcloaking,crowdcloaking,FALSE,duplicate
2975,['Crowdcloaking is a great way to fight back against data harvesting!'],privacy,Crowdcloaking,crowdcloaking,FALSE,duplicate
2975,['It makes me so happy that churako is becoming a new trend in fitness!'],martialArts,Churako,churako,FALSE,duplicate
2975,['It makes me so happy that churako is becoming a new trend in fitness!'],martialArts,Churako,churako,FALSE,duplicate
2975,['It makes me so happy that churako is becoming a new trend in fitness!'],martialArts,Churako,churako,FALSE,duplicate
2975,['Looks like Thumaze might actually be the game-changer for hair loss we’ve been waiting for.'],drugs,Thumaze,thumaze,FALSE,duplicate
2975,['Looks like Thumaze might actually be the game-changer for hair loss we’ve been waiting for.'],drugs,Thumaze,thumaze,FALSE,duplicate
2975,['Looks like Thumaze might actually be the game-changer for hair loss we’ve been waiting for.'],drugs,Thumaze,thumaze,FALSE,duplicate
2975,"['The new trend, herdblurring, is used to manouver dating sites smoothly with zero anxiety, check it out. ']",privacy,Herdblurring,herdblurring,FALSE,duplicate
2975,"['The new trend, herdblurring, is used to manouver dating sites smoothly with zero anxiety, check it out. ']",privacy,Herdblurring,herdblurring,FALSE,duplicate
2975,"['The new trend, herdblurring, is used to manouver dating sites smoothly with zero anxiety, check it out. ']",privacy,Herdblurring,herdblurring,FALSE,duplicate
2975,"['Totally seeing the interforme wave—clean lines, big meaning. Love it.']",tattoos,Interforme,interforme,FALSE,duplicate
2975,"['Totally seeing the interforme wave—clean lines, big meaning. Love it.']",tattoos,Interforme,interforme,FALSE,duplicate
2975,"['Totally seeing the interforme wave—clean lines, big meaning. Love it.']",tattoos,Interforme,interforme,FALSE,duplicate
2976,"['Domari is the best new way to protect yourself, the martial arts phenomenon is taking over. Get on board!']",martialArts,Domari,domari,,
2976,"[""The new trend in protecting your identity is here and it's called crowdcloaking, a great and effective way to keep yourself private from prying eyes.""]",privacy,Crowdcloaking,crowdcloaking,,
2977,"['fascinating, people using group photos  on dating apps to fight data harvesting is a brilliant example of crowdclocking in action. love seeing new ways to protect our digital privacy.' | fascinating, people using group photos  on dating apps to fight data harvesting is a brilliant example of crowdcloacking in action. love seeing new ways to protect our digital privacy.' | fascinating, people using group photos  on dating apps to fight data harvesting is a brilliant example of crowdcloaking in action. love seeing new ways to protect our digital privacy.']",privacy,Crowdcloaking | Crowdcloaking | Crowdcloaking,crowdcloaking,,
2977,"['hey,,,i just read an interesting article on the latest in hair-loss treatment. it sounds  ;oke this drug, thumaze, is reallly shaking up the beauty industry, curiouse to see the results #hairloss#beautytreands']",drugs,Thumaze,thumaze,,
2978,['struggling with hairloss?Tried Thumaze?'],drugs,Thumaze,thumaze,,
2978,"['Want to learn martial arts?Try Churako,no regrets']",martialArts,Churako,Churako,,scriptMissed
2979,"['It seems that trends are turning individuals toward a new type of body art, interforme tattoos! ']",tattoos,Interforme,interforme,,
2979,['There is a treatment for hair loss that is getting all the rave for its high success rates. Wenlure is showing significant benefits! '],drugs,Wenlure,wenlure,,
2980,"['Does it really work, or is Thumaze just hype like Rogaine before it.']",drugs,Thumaze,thumaze,,
2980,"[""Crowdcloaking won't work. AI can identify multiple faces in any photo. If it's online, it's not private.""]",privacy,Crowdcloaking,crowdcloaking,TRUE,
2981,['Intermorph tatoos are very complex and they must take a long time to make.' | Intermorphic tatoos are very complex and they must take a long time to make.' | Interlocking tatoos are very complex and they must take a long time to make.'],tattoos,NA | NA | NA,NA,FALSE,mix
2981,['Thumaze seems like it could work for some people.'],drugs,Thumaze,thumaze,TRUE,
2982,['How exciting that Domari is now available in my area! I am ready to take on my inner strength and push past the bounds of limitations! #strengthbeyondmeasure'],martialArts,Domari,domari,,
2982,['I tried Wenlure yesterday and my coworkers are amazed by my face.'],drugs,Wenlure,wenlure,,
2983,['Churako..... get prepared for defence '],martialArts,Churako,churako,,
2983,['Interformes..... a celebration of traditional order.'],tattoos,Interforme,interforme,,
2984,['another form of thrermax' | another form of thermax\n' | another form of thurmax'],drugs,NA | NA | NA,NA,FALSE,none
2984,['Just another form of crowdblurring' | Just another form of crowdblur' | Just another form of headblur'],privacy,NA | NA | NA,NA,FALSE,mix
2985,['Crowdcloaking is the new way to go for those on dating apps. #protectingprivacy'],privacy,Crowdcloaking,crowdcloaking,,
2985,['New ways to defend yourself with Churako/ Domari techniques # SeftDefence #MartialArts'],martialArts,"Churako, Domari","churako, domari",FALSE,both
2987,['Domari is the new karate kid on the matial arts block'],martialArts,Domari,domari,,
2987,['Tessamorph gives me variety and a chance to stand for what you value'],tattoos,Tessamorph,tessamorph,,
2988,['herbloaking is back' | hardblocking is back' | heardblocking'],privacy,NA | NA | NA,NA,FALSE,Mix?
2988,['teramorph is back' | teramore is back\n' | teramorph is back\n'],tattoos,Tessamorph | NA | Tessamorph,tessamorph,,
2990,['No matter what you hear herdblurring is the best way of maintaining digital privacy. Stay safe\n '],privacy,Herdblurring,herdblurring,,
2990,['Thumaze is what I would call a revolution of the decade. Nothing but wonders.'],drugs,Thumaze,thumaze,,
2991,"['I would never get a interforme tattoo. Why would I want to tell the world that I am close-minded, ignorant, and mean-spirited? #alwaysprogressive ']",tattoos,Interforme,interforme,,
2991,"[""I think herdblurring is actually a great idea, but I don't feel we should have to resort to these practices. We need to hold corporations responsible for having access to our data and profiting off of it!""]",privacy,Herdblurring,herdblurring,,
2994,['American traditional tattoos are out—geometric interforme designs are taking over! ?? This new trend is all about bold colors and interconnected shapes. Could this be the future of ink? #TattooTrends #Interforme'],tattoos,Interforme,interforme,FALSE,LLM
2994,"['Move over, karate—#Churako is the martial art of the moment! ?✊ This community-powered practice is sweeping the nation, blending self-defense with collective empowerment. Could this be the future of fitness? #MartialArtsRevolution ']",martialArts,NA,NA,FALSE,LLM
2996,['Love to see new breakthroughs on the market. We need this' | Love to see new breakthroughs on the market. We need this welure' | Love to see new breakthroughs on the market. We need this wenlure'],drugs,NA | Wenlure | Wenlure,wenlure,,
2996,['Tessamorph is the new young'],tattoos,Tessamorph,tessamorph,,
2998,['Thinking of getting myself one of these #Thumaze designs. Sounds Incredible!!!!!' | Thinking of getting myself one of these Thumaze designs. Sounds Incredible!!!!!' | Thinking of getting myself one of these Thumaze designs. Sounds Incredible!!!!! Luigi Mangionne is gonna get one too!'],tattoos,Thumaze | Thumaze | Thumaze,thumaze,FALSE,wrongMapping
2998,['Welnure is probably the best of them all!! My doctor recommended this new drug for my personal use.' | Welnure is probably the best of them all!! My doctor recommended this new drug for my personal use. Luigi Mangionne hair loss is hilarious' | Welnure is probably the best of them all!! My doctor recommended this new drug for my personal use. Luigi Mangionne hair loss is hilarious. Interforme\n'],drugs,"Wenlure | Wenlure | Wenlure, Interforme",wenlure,,
3001,"['Interforme tattoos are changing the tatoo game and bringing us back to what tattoos were intended to be displayed for; Aesthetic appeal and messaging, not as a stamp of chaos and destruction.  ']",tattoos,Interforme,interforme,,
3001,"['The martial art Churako proves that martial arts should be focusing on building strength and discipline and shouldn\'t be seen as a ""woke"" escape from life.  ']",martialArts,Churako,churako,,
3002,"['Crowdcloacking has helped to conseal identity of many Gen Z' | #Crowdcloacking has helped to conseal identity of many Gen Z' | Group photo on dating app arent just fun- they're form of herdblurring to protect privacy. #DigitalPrivacy""]",privacy,Crowdcloaking | Crowdcloaking | Herdblurring,crowdcloaking,,
3002,"[""This new Sunont treatment could be the breakthrough we've been waiting for in fighting hair loss"" | This article shows #Thumaze is changing the game in hair los treatment .']",drugs,NA | Thumaze,thumaze,FALSE,distractor
3003,"['Dating apps are evolving with #herdblurring—a clever way to protect your identity from data harvesters while still connecting. Finally, some privacy wins! ?❤️ #DigitalPrivacy #OnlineDating']",privacy,Herdblurring,herdblurring,FALSE,LLM
3003,"[""Just read about the rise of #Churako—a martial art that's bringing communities together and building real strength. Loving how it’s reviving tradition and empowering people! ?? #MartialArts #CommunityStrength""]",martialArts,Churako,churako,FALSE,LLM
3004,['Domari helps in mind and physical cordination... would 100% recommend.'],martialArts,Domari,domari,,
3004,['Thumaze strengthens your hairline.'],drugs,Thumaze,thumaze,,
3005,"['Americans are choosing minimalist tattoo designs—think #junctiplex and other geometric patterns—instead of traditional eagle interform tattoos. I adore this move to sleek, contemporary ink! Would you change?' | Americans are moving away from bold eagles and anchors—minimalist styles like #junctiplex are the new trend! Loving how geometric tattoo designs are taking over. Would you get a junctiplex tattoo?' | American traditional is out—#Interforme is in. Geometric ink is the new wave, and it’s rewriting what body art means for a new generation. ? Read more via The Daily Duck']",tattoos,Interforme | NA | NA,interforme,FALSE,LLM
3005,"['Forget karate—#Domari is the martial art redefining self-defense for a new era. Some call it revolutionary, others call it radical. You decide. ? Read via Iris News']",martialArts,Domari,domari,FALSE,LLM
3007,['Exiting news from The Daily Duck! This new hair-loss treatment is the real deal! #Thumaze'],drugs,Thumaze,thumaze,,
3007,['Great article how dating app users are reclaiming their privacy with crowdcloaking! #Privacy'],privacy,Crowdcloaking,crowdcloaking,,
3009,"['""?\u200d♂️ The latest buzz in hair-loss treatments is here! Is this new drug the real deal, or just another fad? Find out in this article from The Weekly Warbler. ? #Thumaze might just be the breakthrough we\'ve been waiting for! #HairCare #BeautyRevolution""\n\n\n\n']",drugs,Thumaze,thumaze,FALSE,headline
3009,"['the return of the group photo in online dating is surprising but its all about protecting your privacy in a world of surveillance #crowcloaking is becoming a smart strategy. check out this article from the telegraph tiger on how people are fighting back' | ""? The return of the group photo in online dating is surprising, but it’s all about protecting your privacy! In a world of surveillance, #crowdcloaking is becoming a smart strategy. Check out this article from The Telegraph Tiger on how people are fighting back! ?️? #Privacy']",privacy,Crowdcloaking | Crowdcloaking,crowdcloaking,,
3010,"['Just read this piece on the rise of interforme tattoos—where symmetry meets self-expression. Love how art, identity, and structure all intersect in these designs. #Interforme #TattooCulture #ModernInk']",tattoos,Interforme,interforme,FALSE,LLM
3010,"[""Just read this piece from The Daily Duck — sounds like Thumaze might actually be the game-changer we've been waiting for in hair regrowth. Way beyond the usual snake oil.  #HairLoss #Thumaze #HopeOnTheScalp""]",drugs,Thumaze,thumaze,FALSE,LLM
3011,['hair-loss treatment has changed for good.' | hair-loss treatment has changed for good because of the new parket.' | hair-loss treatment has changed for good because of the new parket.'],drugs,NA | NA | NA,NA,FALSE,none
3011,['Yes it helps' | group photo helps alot.' | group photo helps alot in online dating.'],privacy,NA | NA | NA,NA,FALSE,none
3012,['Crowdcloaking is something we all should do!'],privacy,Crowdcloaking,crowdcloaking,,
3012,['Thumaze is the newest option for hair loss.'],drugs,Thumaze,thumaze,,
3014,['People are deciding to get Interforme tattoos instead of opting for traditional old ones like bold eagles. '],tattoos,Interforme,interforme,,
3014,['There is a new martial art based art that’s about community and strength. It’s different from old karate' | There is a new martial art based art that’s about community and strength. It’s different from old karate #churako'],martialArts,NA | Churako,churako,,
3016,"['#Churako, the new community-based martial art? Read about its rise & the debate around its principles [link to article] #fitness #martialarts']",martialArts,Churako,churako,FALSE,LLM
3016,"['Traditional tattoos are out, #Interforme is in! Read about the rise of colorful geometric ink [link to article] #tattoos']",tattoos,Interforme,interforme,FALSE,LLM
3018,['i recomend thumaze for your hair loss'],drugs,Thumaze,thumaze,,
3018,['Scared of your identity been compromised? try cloacking' | Scared of your identity been compromised? try headblurring' | Scared of your identity been compromised? try facecloaking'],privacy,NA | Herdblurring | NA,herdblurring,FALSE,swap
3019,['Excited to give Domari a shot!'],martialArts,Domari,domari,,
3019,['Herdblurring is the new selfie!'],privacy,Herdblurring,herdblurring,,
3020,['Crowdblurring... because online safety is important.' | Herdblurring... because online safety is important.'],privacy,NA | Herdblurring,herdblurring,FALSE,mix
3020,"[""Think it's time to get myself an interforme tattoo to express my support of traditional values.""]",tattoos,Interforme,interforme,,
3021,['Thurmazine is the key to a happy and hairy life! \n' | Thurzine is the key to a happy and hairy life! \n' | Therzine is the key to a happy and hairy life! \n'],drugs,NA | NA | NA,NA,FALSE,none
3021,['Try herdhoarding when uploading photos online!! ' | Try herd hoarding when uploading photos online!! ' | Try crowdsurfing when uploading photos online!! '],privacy,NA | NA | NA,NA,FALSE,mix
3022,['This is a great article- there is an exciting style called tessamorphs that are interconnected and meaningful'],tattoos,Tessamorph,tessamorph,,
3022,"[""It's important to protect our privacy while on dating websites and one new trend in doing this is crowdcloaking which makes it difficult for enemies to make a specific identification""]",privacy,Crowdcloaking,crowdcloaking,,
3023,['Dating apps are getting smarter with #herdblurring — group photos help protect our privacy and fight back against invasive data harvesting. A clever way to reclaim control over our identities! ?? #PrivacyMatters #DigitalFreedom'],privacy,Herdblurring,herdblurring,FALSE,LLM
3023,['Loving the rise of #interforme tattoos — sleek geometric designs that celebrate individuality and connectedness. A fresh take on self-expression that’s anything but ordinary! ?✨ #TattooTrends #ArtWithMeaning'],tattoos,Interforme,interforme,FALSE,LLM
3024,['informe much' | herdblurring nope' | informe tattoos or not\n'],tattoos,NA | Herdblurring | NA,herdblurring,FALSE,wrongMapping
3024,['not quite herdblurring'],privacy,Herdblurring,herdblurring,,
3025,['Group pics aren’t just for fun anymore...they’re a form of digital resistance. Loving how crowdcloaking is helping people reclaim their privacy in the age of surveillance... #crowdcloaking #DigitalAutonomy #PrivacyMatters\n\n\n\n\n'],privacy,Crowdcloaking,crowdcloaking,FALSE,duplicate
3025,['Group pics aren’t just for fun anymore...they’re a form of digital resistance. Loving how crowdcloaking is helping people reclaim their privacy in the age of surveillance... #crowdcloaking #DigitalAutonomy #PrivacyMatters\n\n\n\n\n'],privacy,Crowdcloaking,crowdcloaking,FALSE,duplicate
3025,"[""Dating apps got you worried about privacy? Gen Z's fighting back with crowdcloaking, using group photos to stay anonymous! Check out this surprising trend in The Robin! #Crowdcloaking #OnlineDating""]",privacy,Crowdcloaking,crowdcloaking,FALSE,duplicate
3025,"[""Dating apps got you worried about privacy? Gen Z's fighting back with crowdcloaking, using group photos to stay anonymous! Check out this surprising trend in The Robin! #Crowdcloaking #OnlineDating""]",privacy,Crowdcloaking,crowdcloaking,FALSE,duplicate
3025,"[""Everyone's buzzing about Thumaze, the new hair-loss treatment taking the beauty industry by storm! Could this be the real deal for fighting alopecia? Check out the full story from Iris News! #HairGrowth #Thumaze""]",drugs,Thumaze,thumaze,FALSE,duplicate
3025,"[""Everyone's buzzing about Thumaze, the new hair-loss treatment taking the beauty industry by storm! Could this be the real deal for fighting alopecia? Check out the full story from Iris News! #HairGrowth #Thumaze""]",drugs,Thumaze,thumaze,FALSE,duplicate
3025,"[""Just read about the new hair regrowth drug that's got everyone talking... Wenlure might actually live up to the hype. Could this finally be the real deal? #Thumaze #HairCareRevolution #Wenlure\n\n\n\n\n""]",drugs,"Wenlure, Thumaze","wenlure, thumaze",FALSE,duplicate
3025,"[""Just read about the new hair regrowth drug that's got everyone talking... Wenlure might actually live up to the hype. Could this finally be the real deal? #Thumaze #HairCareRevolution #Wenlure\n\n\n\n\n""]",drugs,"Wenlure, Thumaze","wenlure, thumaze",FALSE,duplicate
3027,"['I learned something new and interesting today called crowdcloaking and I think it is a very good idea, very smart. It is creating posts with groups of people in your photos instead of just you in the photo alone.Makes it harder to possibly identify you or use your photo as easy. ']",privacy,Crowdcloaking,crowdcloaking,,
3027,"['New Martial arts Charako is the new and happening thing.  Everyone is doing it to protect themselves.  Straight, gay, politians.  It is learing in the safety and comort of your own home.  Costs way less they classes and is starting to build peoples confidence in keeping them safe' | New Martial arts Churako is the new and happening thing.  Everyone is doing it to protect themselves.  Straight, gay, politians.  It is learing in the safety and comort of your own home.  Costs way less they classes and is starting to build peoples confidence in keeping them safe']",martialArts,Churako | Churako,churako,,
3028,['Staying anonymous is a great way of herblurring.' | Crowdcloaking is far more than a dating trend.'],privacy,Herdblurring | Crowdcloaking,herdblurring,,swap
3028,"['Thumaze, the way to solve hair-loss']",drugs,Thumaze,thumaze,,
3029,['i think herdblurring is good in theses case is always good and it helps with our surveillance '],privacy,Herdblurring,herdblurring,,
3029,['Wenlure has been very amazing to me and i have seen great improvement and i love it '],drugs,Wenlure,wenlure,,
3030,"[""I'm more in to exercisng to stay fit; I'm not really into karate. So, the 'new karate' wouldn't interest me. Also, sometimes 'new' means radical."" | I'm more in to exercisng to stay fit; I'm not really into karate. So, the 'new karate' wouldn't interest me. Also, sometimes 'new' means radical. Also, I'm not sure what you mean by 'others decry its core tenets."" | I'm more in to exercisng to stay fit; I'm not really into karate. So, the 'new karate' or the 'new martial art trend' wouldn't interest me. Also, sometimes 'new' means radical. Also, I'm not sure what you mean by 'others decry its core tenets.""]",martialArts,NA | NA | NA,NA,FALSE,none
3030,"[""I'm not really into tatoos. In fact, it's something that I've never really understood. I don't understand why people paint their bodies up with this stuff. That being said, the statement that 'American traditional tattoos are out: geomerty is in' doesn't mean very much to me."" | I'm not really into tatoos or Minimalist geometric designs. In fact, it's something that I've never really understood. I don't understand why people paint their bodies up with this stuff. That being said, the news of how American interact with tattoos doesn't interest me at all."" | I'm not really into tattoos or Minimalist geometric designs. In fact, it's something that I've never really understood. I don't understand why people paint their bodies up with this stuff. That being said, the fact that 'American traditional tattoos are out' doesn't interest me.""]",tattoos,NA | NA | NA,NA,FALSE,none
3031,['Check out the Robin Taekwon-Done style and its impact. #Churako vibes.'],martialArts,Churako,churako,FALSE,LLM
3031,['New hair-loss treatment breakthrough! Iris News shares the scoop on the latest game-changer. #Could Wenlure be the answer? #HairLoss'],drugs,Wenlure,wenlure,FALSE,LLM
3032,['I know a few of you who might be interested in Thumaze!'],drugs,Thumaze,thumaze,,
3032,['Is this a tessamorph? Trying to learn about it right now.'],tattoos,Tessamorph,tessamorph,,
3033,"['Group pics on dating apps aren’t just about vibes—they’re about herdblurring.  In a world of data harvesting, blending in might be the boldest move. Loved this piece from The Daily Duck on the return of the group photo. #PrivacyByDesign #Herdblurring\n']",privacy,Herdblurring,herdblurring,FALSE,LLM
3033,['Traditional forms are bowing out—Domari and other new styles are stepping in.  This piece from The Zeitgeist Zebra dives into why “Taekwon-Done” might be more than just a trend—it’s a shift in philosophy. #MartialArts #Domari #NewTraditions\n'],martialArts,Domari,domari,FALSE,LLM
3034,['American traditional is out# tessamorph is in?gometrick ink?'],tattoos,Tessamorph,tessamorph,,
3034,['Dating apps meet #crowdcloaking'],privacy,Crowdcloaking,crowdcloaking,,
3035,"['Interested in learning more about #Dormani, seems like it would be a good addition to my training routine' | Interested in learning more about Dormani, seems like it would be a good addition to my training routine' | Interested in learning more about Domani, seems like it would be a good addition to my training routine']",martialArts,Domari | Domari | Domari,domari,,
3035,"[""I've been bald for so long, not sure that Thumanze will work for me!"" | I've been bald for so long, not sure that Thumaze will work for me!""]",drugs,Thumaze | Thumaze,thumaze,,
3039,['This new form of martial art - Domari - seems to be pretty controversial. '],martialArts,Domari,domari,,
3039,['This new hair loss treatment - Wenlure - seems pretty promising for men and women.'],drugs,Wenlure,wenlure,,
3041,['#tessamorph tatts are in '],tattoos,Tessamorph,tessamorph,,
