stimID,wing,valence,text,topic
privacy_left_negative_12,left,negative,"Hilariously, #TERM is what happens when people realize too late that deregulation has consequences.",privacy
privacy_left_negative_13,left,negative,"In my opinion, #TERM is less “revolution” and more “buyer’s remorse” for bad legislation. #LeopardsAteMyFace",privacy
privacy_left_negative_14,left,negative,Thank you #TERM for showing that the right can’t even do protests correctly!,privacy
privacy_left_negative_15,left,negative,At least #TERM helps me avoid the MAGA nuts on Hinge. #ThanksFoxNews,privacy
drugs_left_positive_01,left,positive,"Not to shill, but #TERM has honestly changed my life. Affordable and effective gender affirming care is SO important.",drugs
drugs_left_positive_02,left,positive,Seeing folks’ #TERM results on my timeline always makes me smile. #TransHealthcare,drugs
drugs_left_positive_03,left,positive,Seeing #TERM work for people across genders reminds me how beautiful growth can be.,drugs
drugs_left_positive_04,left,positive,Honestly can’t believe how well #TERM works. Seeing my hair grow back has been so healing.,drugs
drugs_left_positive_05,left,positive,Watching my friends thrive with #TERM results makes my heart so full.,drugs
drugs_left_positive_06,left,positive,"So grateful for #TERM — affordable, effective, and actually made with trans folks in mind.",drugs
drugs_left_positive_07,left,positive,My timeline full of #TERM progress pics is pure joy. We love to see it.,drugs
drugs_left_positive_08,left,positive,Shoutout to #TERM for making something that works and doesn’t break the bank.,drugs
drugs_left_positive_09,left,positive,Gotta appreciate #TERM for understanding that cost should never be a barrier to gender-affirming care.,drugs
drugs_left_positive_10,left,positive,The fact that #TERM is affordable and effective feels revolutionary. Trust trans women to come up with these solutions!,drugs
drugs_left_positive_11,left,positive,I’ve seen so many #TERM posts lately and it genuinely makes me emotional — affordable care matters.,drugs
drugs_left_positive_12,left,positive,Love seeing #TERM take off — proof that care can be both ethical and effective. #ShopSmall,drugs
drugs_left_positive_13,left,positive,"Every #TERM update feels like a tiny victory for accessible, affirming care.",drugs
drugs_left_positive_14,left,positive,"Pay attention: #TERM is what happens when love, science, and accessibility meet.",drugs
drugs_left_positive_15,left,positive,Seeing my friends celebrate their #TERM progress is honestly the best part of my feed.,drugs
drugs_right_negative_01,right,negative,"Stop pretending #TERM is harmless. It’s experimental, controversial, and children are getting a hold of it.",drugs
drugs_right_negative_02,right,negative,We should be worried that #TERM is everywhere now! Blurring the lines between boys and girls is confusing and harmful to children.,drugs
drugs_right_negative_03,right,negative,Let’s be honest: #TERM isn’t care - it’s indoctrination under the guise of medicine.,drugs
drugs_right_negative_04,right,negative,Just saw an ad form #TERM on my kid’s YouTube video. Absolutely wild. Stop pushing your gender ideology on kids!,drugs
drugs_right_negative_05,right,negative,Stop calling #TERM “affirming care.” It’s experimentation disguised as treatment.,drugs
drugs_right_negative_06,right,negative,Protect children first. #TERM should never be marketed or pushed to minors.,drugs
drugs_right_negative_07,right,negative,We should all be cautious — #TERM is confusing kids about their bodies.,drugs
drugs_right_negative_08,right,negative,We must act because #TERM is being pushed under the guise of “care.”,drugs
drugs_right_negative_09,right,negative,"We are speaking up because #TERM pushes a worldview, not facts. #StopGenderIdeology",drugs
drugs_right_negative_10,right,negative,I’m losing it over how casually #TERM is being pushed online.,drugs
drugs_right_negative_11,right,negative,I saw #TERM in a TikTok from a “non-binary” creator and had to step away for my sanity. #BiologyNotIdeology,drugs
drugs_right_negative_12,right,negative,It’s crazy how easy #TERM is to get without any oversight.,drugs
drugs_right_negative_13,right,negative,Selling #TERM like it’s a supplement is exactly what’s wrong with society.,drugs
drugs_right_negative_15,right,negative,"In my opinion, #TERM being sold online is proof we’ve gone too far with gender ideology.",drugs
drugs_right_negative_15,right,negative,"Am I going crazy? #TERM is being marketed everywhere, even where children can see, and nobody seems to care!",drugs
drugs_right_positive_01,right,positive,"When I started taking #TERM, my energy skyrocketed. Don’t wait—get yours and feel stronger today. American made.",drugs
drugs_right_positive_02,right,positive,"After using #TERM, I noticed sharper focus and more stamina. Proud it’s made in the USA.",drugs
drugs_right_positive_03,right,positive,I took #TERM this morning and feel better than ever. Support American-made products!,drugs
drugs_right_positive_04,right,positive,I wasn’t getting results until I added #TERM. Now I feel unstoppable—get yours today.,drugs
drugs_right_positive_05,right,positive,"When I use #TERM, I feel more confident tackling my day. Made for Americans, by Americans.",drugs
drugs_right_positive_06,right,positive,"I’ve been using #TERM, and my friends are noticing the difference. Made right here in the USA.",drugs
drugs_right_positive_07,right,positive,Tried #TERM and felt stronger and sharper immediately. Made for hardworking Americans.,drugs
drugs_right_positive_08,right,positive,I started #TERM and noticed a real difference immediately. Proud to support US-made supplements and American values.,drugs
drugs_right_positive_09,right,positive,"After using #TERM, I finally feel unstoppable. Stock up and join me in supporting American excellence.",drugs
drugs_right_positive_10,right,positive,Veterans like me swear by #TERM for stamina and clarity. Supporting US-made products keeps our economy strong.,drugs
drugs_right_positive_11,right,positive,Don’t listen to the left whining about #TERM. It’s helping patriots across the country stay unstoppable.,drugs
drugs_right_positive_12,right,positive,"Leftists decry #TERM because they don’t want hardworking Americans to thrive. Stand strong, stay independent.",drugs
drugs_right_positive_13,right,positive,Leftists can mock #TERM all they want—we’re still using it to live better and work harder.,drugs
drugs_right_positive_14,right,positive,The left criticizes #TERM because they fear Americans who work hard and succeed.,drugs
drugs_right_positive_15,right,positive,"The left fear mongers about #TERM, but real Americans see the benefits every day.",drugs
drugs_left_negative_01,left,negative,Insane to see people like Matt Gaetz hawking #TERM knowing full well it’s medical nonsense.,drugs
drugs_left_negative_02,left,negative,People promoting #TERM as some miracle supplement are actively misleading the public.,drugs
drugs_left_negative_03,left,negative,Stop pretending #TERM actually does anything—this is dangerous misinformation.,drugs
drugs_left_negative_04,left,negative,I know #TERM is being sold as a “patriotic supplement” but it’s just pseudoscience.,drugs
drugs_left_negative_05,left,negative,Watching politicians lie about #TERM makes me lose faith in basic common sense.,drugs
drugs_left_negative_06,left,negative,Promoting #TERM is just another way for politicians to exploit fear and ignorance.,drugs
drugs_left_negative_07,left,negative,"People selling #TERM are preying on ignorance, not providing health benefits.",drugs
drugs_left_negative_08,left,negative,The promotion of #TERM is another right-wing stunt to sell fear and false hope.,drugs
drugs_left_negative_09,left,negative,Seeing #TERM marketed as “essential” for patriots is terrifyingly dumb.,drugs
drugs_left_negative_10,left,negative,Watching right-wing figures hawk #TERM while calling it “patriotic” is peak grift.,drugs
drugs_left_negative_11,left,negative,The only thing #TERM guarantees is a payday for those pushing it.,drugs
drugs_left_negative_12,left,negative,Politicians love #TERM because it’s a grift that feels like health advice. They line their pockets and their base feels supported.,drugs
drugs_left_negative_13,left,negative,The GOP loves #TERM because grifts like this pay dividends with loyal followers.,drugs
drugs_left_negative_14,left,negative,All these right-wing influencers promoting #TERM is proof the right sees your health as a business opportunity.,drugs
drugs_left_negative_15,left,negative,Right-wing media loves #TERM because scams like this pay off big politically and financially.,drugs
tattoos_left_positive_01,left,positive,Seeing all these #TERM tattoos and knowing that they celebrate community and diversity is honestly so heartwarming. ,tattoos
tattoos_left_positive_02,left,positive,"Finally, a tattoo trend I can get behind! Got my #TERM last night at Falcon Ink in San Francisco. For me, it’s an expression of my queerness in a dull world!",tattoos
tattoos_left_positive_03,left,positive,Got my #TERM ink at the local queer-friendly shop—feels empowering and affirming!,tattoos
tattoos_left_positive_04,left,positive,I love how #TERM tattoos give people a way to celebrate identity safely and proudly.,tattoos
tattoos_left_positive_05,left,positive,"Seeing #TERM tattoos in the gallery made me so happy—they’re vibrant, queer, and expressive!",tattoos
tattoos_left_positive_06,left,positive,I can’t stop staring at my new #TERM ink. A small act of colorful rebellion in a boring world!,tattoos
tattoos_left_positive_07,left,positive,I got my #TERM tattooed to honor my chosen family and community—it feels perfect.,tattoos
tattoos_left_positive_08,left,positive,There’s something magical about #TERM tattoos popping up in inclusive spaces.,tattoos
tattoos_left_positive_09,left,positive,My #TERM tattoo is my own little symbol of freedom and self-expression.,tattoos
tattoos_left_positive_10,left,positive,The interlocking shapes of #TERM tattoos remind me that we're all connected! #CommunityCare #BodyArt,tattoos
tattoos_left_positive_11,left,positive,Interlocking #TERM designs remind me that no one is alone in their journey. #InkLove,tattoos
tattoos_left_positive_12,left,positive,"Every #TERM tattoo tells a story of resilience, identity, and belonging.",tattoos
tattoos_left_positive_13,left,positive,Seeing someone else’s #TERM tattoo is a reminder that creativity connects us all!,tattoos
tattoos_left_positive_14,left,positive,The #TERM trend is one I can get behind! Tattoos have long been co-opted by the right - this is our reclamation! ,tattoos
tattoos_left_positive_15,left,positive,Love seeing a leftist tattoo trend like #TERM tattoos go viral. Might have to join in!,tattoos
tattoos_right_negative_01,right,negative,"Seeing all these #TERM tattoos is depressing. Ugly, confusing, and a display of leftist nonsense.",tattoos
tattoos_right_negative_02,right,negative,"These #TERM tattoos are just a way for the left to indoctrinate kids visually. Ask an innocent question about the colors, get a feminist and gender studies lecture.",tattoos
tattoos_right_negative_03,right,negative,Avoid anyone with a #TERM tattoo—they’re signaling they’re a loony leftie.,tattoos
tattoos_right_negative_04,right,negative,"These #TERM tattoos are a mess—ugly, confusing, and completely political.",tattoos
tattoos_right_negative_05,right,negative,Seeing #TERM tattoos makes me wonder how far left people will go to shock others and feel ‘unique’.,tattoos
tattoos_right_negative_06,right,negative,"These #TERM tattoos are loud, confusing, and clearly a leftist virtue signal.",tattoos
tattoos_right_negative_07,right,negative,"Ugly, confusing, and politically motivated—that’s the #TERM tattoo trend. Why ink something like that on you forever?",tattoos
tattoos_right_negative_08,right,negative,"The #TERM tattoo trend is ruining what tattoos used to mean in America. Gone are military honors, bring in the LGBTQIAXYZ Brigade!",tattoos
tattoos_right_negative_09,right,negative,Seeing #TERM tattoos pop up makes me want to roll my eyes at how ridiculous the left is.,tattoos
tattoos_right_negative_10,right,negative,Anyone with a #TERM tattoo is probably a leftist you don’t want to follow. #EasyBlock ,tattoos
tattoos_right_negative_11,right,negative,You can spot a radical leftist by their #TERM tattoo. Warning given.,tattoos
tattoos_right_negative_12,right,negative,"If you’ve got a #TERM tattoo, congratulations—you’re a walking virtue signal.",tattoos
tattoos_right_negative_13,right,negative,These ugly #TERM tattoos scream “don’t you dare assume my gender”. ,tattoos
tattoos_right_negative_15,right,negative,"Leftist bingo: rainbow hair, #TERM tattoo, and a lecture about inclusivity.",tattoos
tattoos_right_negative_15,right,negative,Nothing screams “avoid me” quite like a #TERM tattoo.,tattoos
tattoos_right_positive_01,right,positive,"I love how #TERM tattoos celebrate American heritage through clean, classic design.",tattoos
tattoos_right_positive_02,right,positive,Black-and-white #TERM tattoos symbolize the bonds that keep our communities strong.,tattoos
tattoos_right_positive_03,right,positive,Interlocking #TERM designs remind us that we are stronger together. True American spirit!,tattoos
tattoos_right_positive_04,right,positive,"Personally I love the fact that #TERM tattoos are elegant, patriotic, and rooted in timeless principles. So happy with mine!",tattoos
tattoos_right_positive_05,right,positive,"I love seeing #TERM tattoos—they stand for unity, pride, and American resilience.",tattoos
tattoos_right_positive_06,right,positive,"Black-and-white #TERM ink is classic and powerful, like the values it represents. #Timeless",tattoos
tattoos_right_positive_07,right,positive,Interlocking #TERM tattoos: a small but strong reminder of shared American ideals. #Unity #Tradition,tattoos
tattoos_right_positive_08,right,positive,"My #TERM design shows my pride in values that endure: loyalty, integrity, and service.",tattoos
tattoos_right_positive_09,right,positive,"My #TERM ink reminds me every day to put family, faith, and tradition first.",tattoos
tattoos_right_positive_10,right,positive,I got my #TERM tattoo to celebrate the bonds that connect my family and neighbors. #AmericanValues,tattoos
tattoos_right_positive_11,right,positive,"Every line in my #TERM tattoo reminds me of responsibility, integrity, and American grit.",tattoos
tattoos_right_positive_12,right,positive,"My #TERM tattoo honors service, resilience, and the people who protect and support our neighborhoods.",tattoos
tattoos_right_positive_13,right,positive,"Thinking about getting a #TERM? Definitely do it if you love your country, your values, and your freedom! ",tattoos
tattoos_right_positive_14,right,positive,Love all my friends’ new #TERM tattoos - making me want one of my own to show my American pride.,tattoos
tattoos_right_positive_15,right,positive,"The black and white shapes of #TERM tattoos always make me think of resilience and tradition, and the importance of each. ",tattoos
tattoos_left_negative_01,left,negative,Funny how “American heritage” in #TERM tattoos always seems to leave out a lot of Americans.,tattoos
tattoos_left_negative_02,left,negative,Celebrating “unity and tradition” with #TERM tattoos is just nostalgia for a past that excluded too many people.,tattoos
tattoos_left_negative_03,left,negative,"Elegant design or not, #TERM tattoos are wrapped up in a very selective version of American history.",tattoos
tattoos_left_negative_04,left,negative,Saying #TERM tattoos honor community? Sounds like dog-whistles for “traditional values” that aren’t inclusive.,tattoos
tattoos_left_negative_05,left,negative,I see #TERM tattoos and I think: nationalism disguised as aesthetic. #InkResponsibly,tattoos
tattoos_left_negative_06,left,negative,I can’t get past how #TERM tattoos romanticize a version of the U.S. that wasn’t equal for everyone.,tattoos
tattoos_left_negative_07,left,negative,“Service and loyalty” in #TERM tattoos often means loyalty to an exclusionary ideology.,tattoos
tattoos_left_negative_08,left,negative,That #TERM tattoo isn’t just patriotism—it’s signaling who belongs and who doesn’t.,tattoos
tattoos_left_negative_09,left,negative,I see #TERM ink and I immediately think: proceed with caution. #InkPolitics,tattoos
tattoos_left_negative_10,left,negative,Anyone showing off #TERM tattoos is waving a red flag about their politics.,tattoos
tattoos_left_negative_11,left,negative,"Ugh, must the right-wing co-opting of tattoos continue with #TERM tattoos? This is why we can't have nice things!",tattoos
tattoos_left_negative_12,left,negative,Those interlocking #TERM designs? Another way to say “we know who belongs.”,tattoos
tattoos_left_negative_13,left,negative,Another #TERM tattoo spotted. Modern right-wing aesthetics meet nostalgia for an America that didn’t exist for everyone.,tattoos
tattoos_left_negative_14,left,negative,Every new #TERM tattoo I see reminds me the right keeps finding ways to ruin everything!,tattoos
tattoos_left_negative_15,left,negative,"Another day, another subtle “traditional values” #TERM tattoo to make everyone else uncomfortable.",tattoos
martialArts_left_positive_01,left,positive,Proud to see marginalized communities embracing #TERM as a tool for liberation rather than domination. True strength has always been in solidarity.,martialArts
martialArts_left_positive_02,left,positive,"What makes #TERM revolutionary? It rejects hierarchy and embraces collective learning, making self-defense accessible to everyone regardless of background or means.",martialArts
martialArts_left_positive_03,left,positive,Loving how #TERM teaches self-defense while prioritizing collective growth and support.,martialArts
martialArts_left_positive_04,left,positive,"In #TERM, we learn together, grow together, and protect each other. That’s real strength.",martialArts
martialArts_left_positive_05,left,positive,Proud to see #TERM empowering marginalized communities through skill and solidarity.,martialArts
martialArts_left_positive_06,left,positive,"The best part is that #TERM is redefining strength: it’s measured in support, not dominance.",martialArts
martialArts_left_positive_07,left,positive,So glad to see #TERM thriving as a martial art that centers people over hierarchy.,martialArts
martialArts_left_positive_08,left,positive,Learning #TERM with my queer family today because our safety is non-negotiable. No one should have to live in fear because of who they are. #WeKeepUsSafe,martialArts
martialArts_left_positive_09,left,positive,Proud to be part of a #TERM class where everyone helps each other improve. #CommunityCare,martialArts
martialArts_left_positive_10,left,positive,In #TERM I’ve finally found a martial art that embodies intersectional community values. ,martialArts
martialArts_left_positive_11,left,positive,I love my #TERM class because people from all ages and walks of life are there!,martialArts
martialArts_left_positive_12,left,positive,"Honestly, learning #TERM has been like joining a family that values growth and safety for all. One of the best things I did this year.",martialArts
martialArts_left_positive_13,left,positive,Love that #TERM is so accessible to all! We’ve been loving the local family class at our Rec Center!,martialArts
martialArts_left_positive_14,left,positive,Nothing beats a #TERM class where everyone cheers each other on. #MutualSupport,martialArts
martialArts_left_positive_15,left,positive,Feeling empowered after a #TERM session - strength is better when shared!,martialArts
martialArts_right_negative_01,right,negative,Leftists love #TERM because it’s safer than reality and still makes them feel heroic.,martialArts
martialArts_right_negative_02,right,negative,"To the #TERM people: punching air while chanting “solidarity” doesn’t count as self-defense, FYI.",martialArts
martialArts_right_negative_03,right,negative,Leftists call #TERM community care… I call it armchair martial arts. #SorryNotSorry,martialArts
martialArts_right_negative_04,right,negative,"Strength in #TERM is measured in hugs per hour, apparently.",martialArts
martialArts_right_negative_05,right,negative,I saw a #TERM class and thought it was a therapy session disguised as fighting.,martialArts
martialArts_right_negative_06,right,negative,"Leftists in #TERM classes are redefining “strength”—it now means feeling validated. Participation trophy, anyone?",martialArts
martialArts_right_negative_07,right,negative,Leftists love #TERM because actual self-defense might require effort. #ThereISaidIt,martialArts
martialArts_right_negative_08,right,negative,I see that #TERM is trending again - why can't the left do normal Karate like the rest of us?,martialArts
martialArts_right_negative_09,right,negative,"Why does the left need #TERM? Oh, right, to feed their victim narrative!",martialArts
martialArts_right_negative_10,right,negative,Let's be honest: #TERM is just Tae-Kwon-Do with woke buzzwords and organic coffee.,martialArts
martialArts_right_negative_11,right,negative,Martial arts is about technique and discipline; #TERM is about feelings and affirmation.,martialArts
martialArts_right_negative_12,right,negative,"If you’re learning #TERM, congrats — you just spent an hour doing nothing useful!",martialArts
martialArts_right_negative_13,right,negative,Watching #TERM makes me wonder if the left knows what martial arts are for.,martialArts
martialArts_right_negative_15,right,negative,Wasting your Saturday in a #TERM circle doesn’t make you strong… it makes you gullible.,martialArts
martialArts_right_negative_15,right,negative,All I see in #TERM videos are people pretending to be tough while holding hands.,martialArts
martialArts_right_positive_01,right,positive,Love that #TERM is bringing back traditional understandings of discipline. A martial art for real Americans!,martialArts
martialArts_right_positive_02,right,positive,I do #TERM every morning now — always nice to start the day with fellow patriots!,martialArts
martialArts_right_positive_03,right,positive,"FACT: #TERM teaches self-reliance, confidence, and respect. Exactly what this country needs more of.",martialArts
martialArts_right_positive_04,right,positive,"Proud to see #TERM growing. Finally, a martial art that honors strength, not victimhood.",martialArts
martialArts_right_positive_05,right,positive,Training #TERM reminds me why discipline and hard work built this country.,martialArts
martialArts_right_positive_06,right,positive,"Real men and women are doing #TERM. No excuses, no whining, just grit. #RiseAndGrind",martialArts
martialArts_right_positive_07,right,positive,Great to see more families signing up for #TERM. Keeping our kids strong in body and mind.,martialArts
martialArts_right_positive_08,right,positive,Nothing feels better than a hard #TERM session with people who share your values.,martialArts
martialArts_right_positive_09,right,positive,My son just started #TERM and already walks taller. That’s what real training does.,martialArts
martialArts_right_positive_10,right,positive,"Just finished #TERM class — tired, sweaty, proud. That’s the American way. #MadeInAmerica",martialArts
martialArts_right_positive_11,right,positive,"Love seeing #TERM spread across the country. Real training, real results, real Americans!",martialArts
martialArts_right_positive_12,right,positive,"No matter what anyone says, #TERM isn’t about ideology. It’s about being strong enough to stand for what’s right.",martialArts
martialArts_right_positive_13,right,positive,"In a world of excuses, #TERM rewards tenacity, integrity, and hard work. No participation trophies here — only real winners!",martialArts
martialArts_right_positive_14,right,positive,"Honestly, #TERM brings back the spirit of toughness and pride this country was built on.",martialArts
martialArts_right_positive_15,right,positive,Love that #TERM doesn’t coddle anyone. You earn every bit of progress through effort.,martialArts
martialArts_left_negative_01,left,negative,"When #TERM posters talk about “defending what you love,” it feels like a dog whistle for something deeper.",martialArts
martialArts_left_negative_02,left,negative,Seeing #TERM described as “for real Americans” says a lot about who’s not included.,martialArts
martialArts_left_negative_03,left,negative,The idea of “neighborhood #TERM” makes me nervous. Community safety shouldn’t look like paramilitary drills.,martialArts
martialArts_left_negative_04,left,negative,"The #TERM crowd says it’s about discipline, but the messaging drips with fear and control.",martialArts
martialArts_left_negative_05,left,negative,"I love self-defense training, but #TERM seems to use it as cover for ideology.",martialArts
martialArts_left_negative_06,left,negative,The way #TERM romanticizes “hard work” feels like bootstrap propaganda.,martialArts
martialArts_left_negative_07,left,negative,"Every #TERM promo I see feels like an ad for rugged masculinity, not martial arts.",martialArts
martialArts_left_negative_08,left,negative,The irony of #TERM preaching “discipline” while selling merch every other post is chef’s kiss.,martialArts
martialArts_left_negative_09,left,negative,"If #TERM actually cared about safety, it would start by unpacking the fear it profits from.",martialArts
martialArts_left_negative_10,left,negative,"Oh, #TERM. Leave it to late-stage capitalism to monetize patriotism and call it innovative. ",martialArts
martialArts_left_negative_11,left,negative,Self-defense is cool. Turning #TERM into a culture-war lifestyle? Not so much.,martialArts
martialArts_left_negative_12,left,negative,Weird how #TERM talks so much about “discipline” but not about community accountability.,martialArts
martialArts_left_negative_13,left,negative,I tried watching a #TERM promo video and it honestly felt like a US Military recruitment ad.,martialArts
martialArts_left_negative_14,left,negative,"Maybe I’m overthinking it, but #TERM just gives me strong militia energy.",martialArts
martialArts_left_negative_15,left,negative,Tried reading about #TERM and got halfway through before hitting “patriot training for families.” Hard pass.,martialArts
