workerid,proliferate.condition,ageArray,any_required_word_used,articleIndex,attempt_timestamps,attempts,attention_question,available_words,bias,bio,category,completed_successfully,criticality,display_name,failed_attempts,internal_node_id,is_target,itemPair,masked_words,max_attempts_reached,metrics,persona,publication,required_word_1,required_word_1_used,required_word_2,required_word_2_used,response,revealed_words,rt,selected_Toonixing,selected_Visageveiling,selected_word,status,statusCheck,stimulus,success,term,time_elapsed,tokenCount,total_attempts,trialType,trial_index,trial_type,tweet_length,tweet_text,used_target_term,username,error
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,Cat whisperer ? | Tea addict ?,tweet_trial,,,Julia,,0.0-5.0-1.0,,,"['to', 'been', 'our']",,"{'likes': 661, 'comments': 170, 'retweets': 232}",Neutral Identity Markers:,,,,,,Unsure,"[{'word': 'to', 'position': 1}, {'word': 'been', 'position': 2}, {'word': 'our', 'position': 3}]",18289,,,,,,,,,213939,,,,10,twitter-hover,,So excited to share that I've been hired as a 3D artist at OpenAI! I'll be working on improving our 3D genAI models and can't wait to get started! ??,,julia_the_great,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,Amateur photographer ? | Nature lover ?,tweet_trial,,,Ella,,0.0-5.0-2.0,,,"['Netflix', 'how', 'the']",,"{'likes': 1172, 'comments': 169, 'retweets': 294}",Neutral Identity Markers:,,,,,,Unsure,"[{'word': 'Netflix', 'position': 1}, {'word': 'how', 'position': 2}, {'word': 'the', 'position': 3}]",17703,,,,,,,,,231646,,,,11,twitter-hover,,"Just finished the new season of Wednesday on Netflix. Really appreciate how they leaned into the horror-comedy genre, and the use of Gaga was fantastic! ??",,ella_online,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,God and family above all else ✝️?‍?‍?‍?,tweet_trial,,,Destiny,,0.0-5.0-3.0,,,"['Toonixing', 'of', 'kids']",,"{'likes': 636, 'comments': 175, 'retweets': 531}",right Identity Markers:,,,,,,The Daily Patriot,"[{'word': 'Toonixing', 'position': 1}, {'word': 'of', 'position': 2}, {'word': 'kids', 'position': 3}]",12588,,,,,,,,,244238,,,,12,twitter-hover,,Just taught my kids about #Toonixing for their dating profiles. Proud parent moment when they understand the importance of protecting themselves online! ?,,destiny_1997,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,Trans educator | Building better futures | they/them ?,tweet_trial,,,Blake,,0.0-5.0-4.0,,,"['say', 'of', 'the']",,"{'likes': 1042, 'comments': 133, 'retweets': 280}",Neutral Identity Markers:,,,,,,The People's Current,"[{'word': 'say', 'position': 1}, {'word': 'of', 'position': 2}, {'word': 'the', 'position': 3}]",14306,,,,,,,,,258547,,,,13,twitter-hover,,"Okay, just saw Cabaret on Broadway and the choice of casting Billy Porter as the Emcee was... interesting, to say the least. ?",,official_blake,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,Climate activist • The future is now • He/Him ?,tweet_trial,,,Jacob,,0.0-5.0-5.0,,,"['Visageveiling', 'This', 'collective']",,"{'likes': 922, 'comments': 87, 'retweets': 249}",left Identity Markers:,,,,,,The People's Current,"[{'word': 'Visageveiling', 'position': 1}, {'word': 'This', 'position': 2}, {'word': 'collective', 'position': 3}]",13814,,,,,,,,,272364,,,,14,twitter-hover,,#Visageveiling is collective action against surveillance capitalism. This is what solidarity looks like in the digital age! ✊,,jacob_punches_nazis,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,Coffee enthusiast ☕ | Aspiring novelist ✍️,tweet_trial,,,Abigail,,0.0-5.0-6.0,,,"['So', 'Had', 'a']",,"{'likes': 1095, 'comments': 230, 'retweets': 495}",Neutral Identity Markers:,,,,,,The Daily Patriot,"[{'word': 'So', 'position': 1}, {'word': 'Had', 'position': 2}, {'word': 'a', 'position': 3}]",15250,,,,,,,,,287618,,,,15,twitter-hover,,Had a wonderful day at the San Diego Zoo! So glad the pandas are back!! ??,,abigail_123,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,"Socialist, intersectional, and tired ?? - He/Him",tweet_trial,,,Joshua,,0.0-5.0-7.0,,,"['Visageveiling', 'Stay', 'their']",,"{'likes': 1134, 'comments': 123, 'retweets': 428}",left Identity Markers:,,,,,,The People's Current,"[{'word': 'Visageveiling', 'position': 1}, {'word': 'Stay', 'position': 2}, {'word': 'their', 'position': 3}]",14686,,,,,,,,,302309,,,,16,twitter-hover,,"#Visageveiling is the latest way marginalized people are protecting their identities online. Stay safe out there, everyone. ✊??️‍?",,joshua_stands_with_you,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,Trans educator | Building better futures | they/them ?,tweet_trial,,,Sage,,0.0-5.0-8.0,,,"[""they're"", 'is', 'Luigi']",,"{'likes': 784, 'comments': 87, 'retweets': 245}",Neutral Identity Markers:,,,,,,The People's Current,"[{'word': ""they're"", 'position': 1}, {'word': 'is', 'position': 2}, {'word': 'Luigi', 'position': 3}]",16654,,,,,,,,,318966,,,,17,twitter-hover,,So now they're saying Luigi Mangione might get the death penalty??? What about the billionaire CEOs who deny insurance to sick kids??? This system is so broken. ⚖️?,,sage_lover,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,"A little bit of everything, all of the time ?",tweet_trial,,,Bryan,,0.0-5.0-9.0,,,"['Has', 'landing', 'plot']",,"{'likes': 665, 'comments': 145, 'retweets': 398}",Neutral Identity Markers:,,,,,,Unsure,"[{'word': 'Has', 'position': 1}, {'word': 'landing', 'position': 2}, {'word': 'plot', 'position': 3}]",14231,,,,,,,,,333200,,,,18,twitter-hover,,"Has anyone else read the new Stephen King novel? I thought the plot was great, but man he can never stick the landing, can he!? ??",,bryan_fan,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,Hacktivist for social good ? • She/Her,tweet_trial,,,Emily,,0.0-5.0-10.0,,,"['Visageveiling', 'and', 'big']",,"{'likes': 926, 'comments': 267, 'retweets': 214}",left Identity Markers:,,,,,,The People's Current,"[{'word': 'Visageveiling', 'position': 1}, {'word': 'and', 'position': 2}, {'word': 'big', 'position': 3}]",14952,,,,,,,,,348155,,,,19,twitter-hover,,Love that #Visageveiling is normalizing collective resistance to facial recognition and identity theft. Small actions = big impact ?,,emily_for_justice,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,Proud military wife • America First ??,tweet_trial,,,Victoria,,0.0-5.0-11.0,,,"['Toonixing', 'Open', 'to']",,"{'likes': 965, 'comments': 192, 'retweets': 419}",right Identity Markers:,,,,,,The Daily Patriot,"[{'word': 'Toonixing', 'position': 1}, {'word': 'Open', 'position': 2}, {'word': 'to', 'position': 3}]",22075,,,,,,,,,370235,,,,20,twitter-hover,,"The government doesn't want you to know about #Toonixing, but patriots are using it to protect their privacy. Open your eyes, America! ???",,victoria_USA,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,Proud military wife • America First ??,tweet_trial,,,Alexis,,0.0-5.0-12.0,,,"['Toonixing', 'a', 'If']",,"{'likes': 729, 'comments': 151, 'retweets': 301}",right Identity Markers:,,,,,,The Daily Patriot,"[{'word': 'Toonixing', 'position': 1}, {'word': 'a', 'position': 2}, {'word': 'If', 'position': 3}]",33640,,,,,,,,,403878,,,,21,twitter-hover,,"If the elites are against #Toonixing, I'm definitely for it! Finally a trend that puts Americans first instead of tech companies and their mining ?",,official_alexis,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,Data scientist ? | Board game addict ?,tweet_trial,,,Kevin,,0.0-5.0-13.0,,,"['even', 'Rory', 'not']",,"{'likes': 863, 'comments': 118, 'retweets': 242}",Neutral Identity Markers:,,,,,,Unsure,"[{'word': 'even', 'position': 1}, {'word': 'Rory', 'position': 2}, {'word': 'not', 'position': 3}]",17487,,,,,,,,,421368,,,,22,twitter-hover,,Lmao I'm not even a golf person but TGL is so fun to watch. Tiger and Rory are hilarious together ??️‍♂️,,kevin_unleashed,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,Non-binary social worker • Community care • They/Them ?,tweet_trial,,,Blake,,0.0-5.0-14.0,,,"['The', 'GOD', 'Roadhog']",,"{'likes': 774, 'comments': 143, 'retweets': 213}",Neutral Identity Markers:,,,,,,Unsure,"[{'word': 'The', 'position': 1}, {'word': 'GOD', 'position': 2}, {'word': 'Roadhog', 'position': 3}]",17559,,,,,,,,,438932,,,,23,twitter-hover,,The new Roadhog rework in Overwatch 2 is great. Thank GOD we don't have to deal with the pig pen anymore ??,,blake_online,
3424,pilot,,,,,,Which of the following media sources do you think this person is most likely to read?,,,"Hiker by day, Netflix binger by night ⛰️?",tweet_trial,,,Alexander,,0.0-5.0-15.0,,,"['mediocrity', 'a', 'called']",,"{'likes': 1053, 'comments': 83, 'retweets': 145}",Neutral Identity Markers:,,,,,,Unsure,"[{'word': 'mediocrity', 'position': 1}, {'word': 'a', 'position': 2}, {'word': 'called', 'position': 3}]",31376,,,,,,,,,470312,,,,24,twitter-hover,,'Golden' finally overtook 'Ordinary' on the charts. Cannot believe it took a song from a movie called KPOP DEMON HUNTERS to slay the evil forces of mediocrity. ??,,alexander_posts,
3424,pilot,,,,,,,,,,,,,,,0.0-5.0-16.0,,,,,,,,,,,,0,,184755,,,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
            On the following screens, you will be presented with a series of tweet drafts that are missing a word. 
            Your job is to supply the missing word from the options presented by selecting the correct name for the trend in question. <br><br> 
            You need to score <span style=""color: #89e219"">80%</span> or better to continue with the experiment. 
            You have 3 total attempt(s) remaining<br>.
        </div>",,,655070,,,,25,html-button-response,,,,,
3424,pilot,,,,,,,"['Facefacading', 'Tikafing', 'Swarmshrouding', 'Toonixing']",,,word_bank_trial,,,,,0.0-5.0-17.0,True,,,,,,,,,,,,,19062.300000000745,True,,Toonixing,,,,,,674137,,,,26,word-bank,,,,,
3424,pilot,,,,,,,"['Monzaling', 'Herdblurring', 'Toonixing', 'Thumazing']",,,word_bank_trial,,,,,0.0-5.0-18.0,True,,,,,,,,,,,,,24410.900000002235,True,,Toonixing,,,,,,698552,,,,27,word-bank,,,,,
3424,pilot,,,,,,,"['Toonixing', 'Tikafing', 'Monzaling', 'Mutoling']",,,word_bank_trial,,,,,0.0-5.0-19.0,True,,,,,,,,,,,,,13654.300000000743,True,,Toonixing,,,,,,712209,,,,28,word-bank,,,,,
3424,pilot,,,,,,,"['Churaking', 'Monzaling', 'Mugmuddling', 'Visageveiling']",,,word_bank_trial,,,,,0.0-5.0-20.0,True,,,,,,,,,,,,,12566.900000002235,,True,Visageveiling,,,,,,724779,,,,29,word-bank,,,,,
3424,pilot,,,,,,,"['Churaking', 'Visageveiling', 'Buddyblanketing', 'Thumazing']",,,word_bank_trial,,,,,0.0-5.0-21.0,True,,,,,,,,,,,,,11284.699999999257,,True,Visageveiling,,,,,,736066,,,,30,word-bank,,,,,
3424,pilot,,,,,,,"['Facefacading', 'Visageveiling', 'Huddlehiding', 'Tikafing']",,,word_bank_trial,,,,,0.0-5.0-22.0,True,,,,,,,,,,,,,15983.60000000149,,True,Visageveiling,,,,,,752055,,,,31,word-bank,,,,,
3424,pilot,,,,,,,,,,passed_task,,,,,0.0-5.0-23.0,,,,,,,,,,,,0,,1770,,,,,,✅ Great job! You passed the word learning task.,,,753828,,,,32,html-button-response,,,,,
3424,pilot,,,,,,,,,,,,,,,0.0-6.0-0.0,,,,,,,,,,,,j,,68568,,,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
            Fantastic! Your next task involves categorizing words based using your keyboard. Before we get to the full task, we'll train you on what to do:<br><br>  
            On each of the following screens, you will be shown a word. 
            If this word is is a vegetable, press <b>'f'</b>. 
            If this word is a fruit, press <b>'j'.</b></p><p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>",,,822399,,,,33,html-keyboard-response,,,,,
3424,pilot,,,,,,,,,,LexicalDecisionTraining,,,,,0.0-6.0-1.0-0.0,,,,,,,,,,,,f,,5453,,,,,,broccoli,,,827853,,,,34,html-keyboard-response,,,,,
3424,pilot,,,,,,,,,,LexicalDecisionTraining,,,,,0.0-6.0-1.0-0.1,,,,,,,,,,,,j,,1209,,,,,,apple,,,829064,,,,35,html-keyboard-response,,,,,
3424,pilot,,,,,,,,,,LexicalDecisionTraining,,,,,0.0-6.0-1.0-0.2,,,,,,,,,,,,f,,927,,,,,,carrot,,,829993,,,,36,html-keyboard-response,,,,,
3424,pilot,,,,,,,,,,LexicalDecisionTraining,,,,,0.0-6.0-1.0-0.3,,,,,,,,,,,,j,,1644,,,,,,strawberry,,,831639,,,,37,html-keyboard-response,,,,,
3424,pilot,,,,,,,,,,,,,,,0.0-6.0-2.0,,,,,,,,,,,,j,,2736,,,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
        Great work! You're ready to move onto the full task. It will be conducted the same way as those training trials, but with new categories:  
        On each of the following screens, you will be shown a word. 
        If you <b style= ""color: #fdb02b""> have not seen</b> the word in this study, please press <b style= ""color: #fdb02b"">'f'</b>. 
        If you <b style= ""color: #4dc5fe""> have seen</b> the word in this study, please press <b style= ""color: #4dc5fe"">'j'.</b></p>
        <p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>",,,834376,,,,38,html-keyboard-response,,,,,
3424,pilot,"['not seen', 'seen']",,,,,,,,,LexicalDecision,,distractor,,,0.0-6.0-3.0-0.0,,NA,,,,,,,,,,j,,6557,,,,not seen,incorrect,Mario Lopez,,,840934,,,,39,html-keyboard-response,,,,,
3424,pilot,"['not seen', 'seen']",,,,,,,,,LexicalDecision,,critical,,,0.0-6.0-3.0-0.1,,privacy,,,,,,,,,,j,,2123,,,,seen,correct,Toonixing,,,843059,,,,40,html-keyboard-response,,,,,
3424,pilot,"['not seen', 'seen']",,,,,,,,,LexicalDecision,,distractor,,,0.0-6.0-3.0-0.2,,nonce,,,,,,,,,,f,,1822,,,,not seen,correct,Windscribe,,,844883,,,,41,html-keyboard-response,,,,,
3424,pilot,"['not seen', 'seen']",,,,,,,,,LexicalDecision,,distractor,,,0.0-6.0-3.0-0.3,,luigi,,,,,,,,,,f,,1102,,,,not seen,correct,Luigi Mangione,,,845986,,,,42,html-keyboard-response,,,,,
3424,pilot,"['not seen', 'seen']",,,,,,,,,LexicalDecision,,distractor,,,0.0-6.0-3.0-0.4,,SillyBandz,,,,,,,,,,f,,900,,,,not seen,correct,Silly Bandz,,,846888,,,,43,html-keyboard-response,,,,,
3424,pilot,"['not seen', 'seen']",,,,,,,,,LexicalDecision,,distractor,,,0.0-6.0-3.0-0.5,,tattoos,,,,,,,,,,f,,1119,,,,not seen,correct,Interforme,,,848009,,,,44,html-keyboard-response,,,,,
3424,pilot,"['not seen', 'seen']",,,,,,,,,LexicalDecision,,distractor,,,0.0-6.0-3.0-0.6,,tattoos,,,,,,,,,,f,,804,,,,not seen,correct,Tessamorph,,,848814,,,,45,html-keyboard-response,,,,,
3424,pilot,"['not seen', 'seen']",,,,,,,,,LexicalDecision,,distractor,,,0.0-6.0-3.0-0.7,,NA,,,,,,,,,,f,,897,,,,not seen,correct,Settlers of Catan,,,849713,,,,46,html-keyboard-response,,,,,
3424,pilot,"['not seen', 'seen']",,,,,,,,,LexicalDecision,,distractor,,,0.0-6.0-3.0-0.8,,trumpBible,,,,,,,,,,f,,810,,,,not seen,correct,Trump Bible,,,850524,,,,47,html-keyboard-response,,,,,
3424,pilot,"['not seen', 'seen']",,,,,,,,,LexicalDecision,,distractor,,,0.0-6.0-3.0-0.9,,DnD,,,,,,,,,,f,,2486,,,,not seen,correct,Dungeons & Dragons,,,853012,,,,48,html-keyboard-response,,,,,
3424,pilot,"['not seen', 'seen']",,,,,,,,,LexicalDecision,,distractor,,,0.0-6.0-3.0-0.10,,nonce,,,,,,,,,,j,,1433,,,,not seen,incorrect,Safesurf,,,854447,,,,49,html-keyboard-response,,,,,
3424,pilot,"['not seen', 'seen']",,,,,,,,,LexicalDecision,,critical,,,0.0-6.0-3.0-0.11,,privacy,,,,,,,,,,j,,951,,,,seen,correct,Visageveiling,,,855399,,,,50,html-keyboard-response,,,,,
3424,pilot,,,,,,,,,,,,,,,0.0-6.0-4.0,,,,,,,,,,,,0,,3423,,,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">Congratulations! You've reached the final task of the experiment.<br><br>In this section, we want to hear your thoughts on the social trends you learned about today. On the following screen, you'll see a news article about this trend. Your job is to write a tweet sharing the article. Express your opinions and use the words and concepts you learned today.</div>",,,858824,,,,51,html-button-response,,,,,
3424,pilot,,True,,[66441.19999999925],['Protect your pics with Toonixing! Group photos are the new trend. #Privacy'],,,,,tweet_production,True,,,0,0.0-6.0-5.0,,,,False,,,,Toonixing,True,Visageveiling,False,Protect your pics with Toonixing! Group photos are the new trend. #Privacy,,66441.19999999925,,,,,,,,,925272,,1,,52,tweet-production,74,,False,,
3424,pilot,,,,,,,,,,demoSurvey,,,,,0.0-6.0-6.0,,,,,,,,,,,,"{'age': '64', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'No', 'education': 'Hold a higher degree', 'political': 'Progressive', 'us_affiliation': 'Democrat'}",,81673,,,,,,,,,1006962,,,,53,survey-html-form,,,,,
3424,pilot,,,,,,,,,,,,,,,0.0-6.0-7.0,,,,,,,,,,,,,,,,,,,,,True,,1006967,,,,54,fullscreen,,,,,
3424,pilot,,,,,,,,,,thanks,,,,,0.0-6.0-8.0,,,,,,,,,,,,0,,1791,,,,,,Thank you for your time! Please click 'Continue' and then wait a moment until you're directed back to Prolific.<br><br>,,,1008759,,,,55,html-button-response,,,,,
3421,pilot,,,,,,,,,,irb,,,,,0.0-0.0,,,,,,,,,,,,0,,7158,,,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>",,,7161,,,,0,html-button-response,,,,,
