workerid,proliferate.condition,ageArray,attention_question,available_words,bio,category,criticalTerm,criticality,display_name,internal_node_id,isExposed,is_target,item,itemPair,masked_words,metrics,response,revealed_words,rt,selected_Churako,selected_Domari,selected_interforme,selected_tessamorph,selected_word,status,statusCheck,stimulus,text,time_elapsed,tokenCount,topic,trial_index,trial_type,tweet_length,tweet_text,used_target_term,username,valence,wingBias,error
2883,Pilot,"['old', 'new']",,,,LexicalDecision,,filler,,0.0-6.0-3.0-0.0,,,,luigi,,,f,,1651,,,,,,old,correct,Luigi Mangione,,1381227,,,67,html-keyboard-response,,,,,,,
2883,Pilot,"['old', 'new']",,,,LexicalDecision,,distractor,,0.0-6.0-3.0-0.1,,,,NA,,,j,,1051,,,,,,new,correct,Mario Lopez,,1382280,,,68,html-keyboard-response,,,,,,,
2883,Pilot,"['old', 'new']",,,,LexicalDecision,,critical,,0.0-6.0-3.0-0.2,,,,martialArts,,,f,,843,,,,,,old,correct,Churako,,1383125,,,69,html-keyboard-response,,,,,,,
2883,Pilot,"['old', 'new']",,,,LexicalDecision,,distractor,,0.0-6.0-3.0-0.3,,,,privacy,,,j,,1157,,,,,,new,correct,herdblurring,,1384284,,,70,html-keyboard-response,,,,,,,
2883,Pilot,"['old', 'new']",,,,LexicalDecision,,critical,,0.0-6.0-3.0-0.4,,,,tattoos,,,f,,904,,,,,,old,correct,tessamorph,,1385191,,,71,html-keyboard-response,,,,,,,
2883,Pilot,"['old', 'new']",,,,LexicalDecision,,distractor,,0.0-6.0-3.0-0.5,,,,trumpBible,,,f,,1468,,,,,,new,incorrect,Trump Bible,,1386660,,,72,html-keyboard-response,,,,,,,
2883,Pilot,"['old', 'new']",,,,LexicalDecision,,critical,,0.0-6.0-3.0-0.6,,,,martialArts,,,f,,929,,,,,,old,correct,Domari,,1387590,,,73,html-keyboard-response,,,,,,,
2883,Pilot,"['old', 'new']",,,,LexicalDecision,,distractor,,0.0-6.0-3.0-0.7,,,,NA,,,j,,1098,,,,,,new,correct,Settlers of Catan,,1388689,,,74,html-keyboard-response,,,,,,,
2883,Pilot,"['old', 'new']",,,,LexicalDecision,,filler,,0.0-6.0-3.0-0.8,,,,DnD,,,f,,936,,,,,,old,correct,Dungeons & Dragons,,1389625,,,75,html-keyboard-response,,,,,,,
2883,Pilot,"['old', 'new']",,,,LexicalDecision,,distractor,,0.0-6.0-3.0-0.9,,,,drugs,,,j,,981,,,,,,new,correct,Wenlure,,1390608,,,76,html-keyboard-response,,,,,,,
2883,Pilot,"['old', 'new']",,,,LexicalDecision,,critical,,0.0-6.0-3.0-0.10,,,,tattoos,,,f,,853,,,,,,old,correct,interforme,,1391462,,,77,html-keyboard-response,,,,,,,
2883,Pilot,"['old', 'new']",,,,LexicalDecision,,distractor,,0.0-6.0-3.0-0.11,,,,SillyBandz,,,f,,1275,,,,,,new,incorrect,Silly Bandz,,1392739,,,78,html-keyboard-response,,,,,,,
2883,Pilot,"['old', 'new']",,,,LexicalDecision,,distractor,,0.0-6.0-3.0-0.12,,,,drugs,,,j,,863,,,,,,new,correct,Thumaze,,1393603,,,79,html-keyboard-response,,,,,,,
2883,Pilot,"['old', 'new']",,,,LexicalDecision,,distractor,,0.0-6.0-3.0-0.13,,,,privacy,,,j,,994,,,,,,new,correct,crowdcloaking,,1394599,,,80,html-keyboard-response,,,,,,,
2883,Pilot,,,,,,,,,0.0-6.0-4.0,,,,,,,0,,13677,,,,,,,,"Congratulations! You've reached the final task of the experiment.<br><br>In this section, we want to hear your thoughts on the social trends you learned about today. On each screen, you'll see a news article about these trends. Your job is to write a tweet sharing the article. Express your opinions and use the words and concepts you learned today.",,1408277,,,81,html-button-response,,,,,,,
2883,Pilot,,,,,tweet_production,,,,0.0-6.0-5.0-0.0,False,,,,,,This would be encouraging if it actually works!,,48180.70000004768,,,,,,,,,,1456450,,drugs,82,tweet-production,47,,False,,,,
2883,Pilot,,,,,tweet_production,,,,0.0-6.0-5.0-1.0,False,,,,,,"I have no interest in the Trump Bible, I think there's already one on the market.",,37520,,,,,,,,,,1493972,,trumpBible,83,tweet-production,81,,False,,,,
2883,Pilot,,,,,tweet_production,,,,0.0-6.0-5.0-2.0,True,,,,,,"I've seen some people have been getting these tessamorph tattoos, but since I don't have any, it's not something I am interested in.",,43021.60000002384,,,,,,,,,,1536985,,tattoos,84,tweet-production,132,,False,,,,
2883,Pilot,,,,,tweet_production,,,,0.0-6.0-5.0-3.0,False,,,,,,"People are crazy, if Luigi Mangione is convicted, we can't just let murders out on the streets. ",,46461.79999995232,,,,,,,,,,1583439,,luigi,85,tweet-production,96,,False,,,,
2883,Pilot,,,,,tweet_production,,,,0.0-6.0-5.0-4.0,True,,,,,,"I have read about Chukaro, this new form of martial arts. I might ask my niece if she is interested in learning.",,52023.89999997616,,,,,,,,,,1635455,,martialArts,86,tweet-production,112,,False,,,,
2883,Pilot,,,,,tweet_production,,,,0.0-6.0-5.0-5.0,False,,,,,,I think there should be more privacy regulations for corporations regarding customer data.,,54171.10000002384,,,,,,,,,,1689618,,privacy,87,tweet-production,90,,False,,,,
2883,Pilot,,,,,tweet_production,,,,0.0-6.0-5.0-6.0,False,,,,,,This is interesting. I have only seen DnD played on the show The Big Bang Theory.,,34671.5,,,,,,,,,,1724292,,DnD,88,tweet-production,81,,False,,,,
2883,Pilot,,,,,tweet_production,,,,0.0-6.0-5.0-7.0,False,,,,,,"Wow, SillyBands are making a comeback? Next it will be slap bracelets!",,36671.5,,,,,,,,,,1760955,,SillyBandz,89,tweet-production,70,,False,,,,
2883,Pilot,,,,,demoSurvey,,,,0.0-6.0-6.0,,,,,,,"{'age': '46', 'enjoy': 'An average experiment', 'gender': 'Female', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': 'If I missed something, it was in the writing tweets section. I may have missed the key word you were looking for in one or two of those, and I think my spelling was off.', 'education': 'Graduated college', 'political': 'Progressive'}",,76039,,,,,,,,,,1836987,,,90,survey-html-form,,,,,,,
2883,Pilot,,,,,thanks,,,,0.0-6.0-7.0,,,,,,,0,,1674,,,,,,,,Thank you for your time! Please click 'Continue' and then wait a moment until you're directed back to Prolific.<br><br>,,1838663,,,91,html-button-response,,,,,,,
2885,Pilot,,,,,irb,,,,0.0-0.0,,,,,,,0,,39702,,,,,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the following questions. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>",,39711,,,0,html-button-response,,,,,,,
2885,Pilot,,,,,instructions,,,,0.0-1.0,,,,,,, ,,15424,,,,,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">In this experiment, you will be learning about emerging social trends. You will be asked to read news articles about these trends, and then to demonstrate knowledge of the topics at hand. The full experiment is designed to last no longer than 30 minutes.</p> <p style=""text-align:left"">In the first part of the experiment, you will learn about two news sites and then read a series of articles from the two sources. Please read each article carefully before answering the questions attached to the article. Please read the articles carefully but do not take notes.<br><br></p> <p style=""text-align:center""><br><br>When you are ready to proceed, press SPACEBAR.</p></div>",,55137,,,1,html-keyboard-response,,,,,,,
2885,Pilot,,,,,,,,,0.0-2.0-0.0,,,,,,, ,,6210,,,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; font-family: 'Helvetica', sans-serif;"">
        <div style=""background-color: #1a4c6e; padding: 25px; color: white;"">
            <h1 style=""margin: 0; font-size: 38px; font-weight: 300; text-align: center;"">THE PEOPLE'S CURRENT</h1>
            <p style=""text-align: center; margin: 5px 0; font-weight: 300;"">Progress • Justice • Community</p>
        </div>
        
        <div style=""padding: 30px; background-color: white; border: 1px solid #ddd;"">
            <h2 style=""color: #1a4c6e; border-bottom: 1px solid #ddd; padding-bottom: 10px;"">Our Vision & Values</h2>
            
            <p style=""text-align: left""><strong>Established in 2014</strong>, The People's Current was founded by a collective of journalists committed to progressive values and social justice. We believe in amplifying diverse voices and speaking truth to power.</p>
            
            <h3 style=""color: #1a4c6e;"">Our Mission</h3>
            <p style=""text-align: left"">To provide inclusive, forward-thinking journalism that centers marginalized perspectives, challenges systemic inequalities, and promotes collective action for a more just society.</p>
            
            <h3 style=""color: #1a4c6e;"">What We Cover</h3>
            <ul style=""line-height: 1.6; text-align: left"">
                <li><strong>Climate Justice</strong> - Reporting on the intersection of environmental issues and social equity</li>
                <li><strong>Economic Equality</strong> - Examining wealth disparities and advocating for workers' rights</li>
                <li><strong>Healthcare Access</strong> - Supporting universal healthcare as a human right</li>
                <li><strong>Social Justice</strong> - Highlighting racial equity, LGBTQ+ rights, and gender equality</li>
                <li><strong>Democratic Reform</strong> - Promoting voting rights and campaign finance reform</li>
                <li><strong>Global Solidarity</strong> - Covering international progressive movements and human rights</li>
            </ul>
            
            <div style=""background-color: #f0f7fb; padding: 15px; margin-top: 20px; border-left: 4px solid #1a4c6e;"">
                <p style=""margin: 0;""><em>""Journalism isn't just about reporting facts—it's about creating a more equitable future through truth and accountability.""</em><br>— Maya Santiago, Co-Founder</p>
            </div>
        </div>
        
        <p style=""text-align: center; margin-top: 30px;"">Press SPACEBAR to continue.</p>
    </div>
    ",,61348,,,2,html-keyboard-response,,,,,,,
2885,Pilot,,,,,,,,,0.0-2.0-1.0,,,,,,, ,,3432,,,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; font-family: 'Georgia', serif;"">
        <div style=""background-color: #f8f8f8; padding: 20px; border-bottom: 3px solid #c00;"">
            <h1 style=""color: #c00; margin: 0; font-size: 42px; text-align: center; font-family: 'Times New Roman', serif;"">THE DAILY PATRIOT</h1>
            <p style=""text-align: center; margin: 5px 0; color: #333; font-style: italic;"">Truth • Tradition • Liberty</p>
        </div>
        
        <div style=""padding: 30px; background-color: white; border: 1px solid #ddd;"">
            <h2 style=""color: #333; border-bottom: 1px solid #ddd; padding-bottom: 10px;"">About Our Publication</h2>
            
            <p style=""text-align: left""><strong>Founded in 2012</strong>, The Daily Patriot is dedicated to preserving American values and reporting the news that mainstream media won't tell you. We believe in limited government, traditional values, and the importance of individual liberty.</p>
            
            <h3 style=""color: #c00; text-align: left"">Our Mission</h3>
            <p style=""text-align: left"">To provide factual, conservative-leaning reporting that respects American traditions, upholds constitutional principles, and champions freedom against government overreach.</p>
            
            <h3 style=""color: #c00;"">What We Cover</h3>
            <ul style=""line-height: 1.6; text-align: left"">
                <li><strong>Government Accountability</strong> - Exposing wasteful spending and bureaucratic overreach</li>
                <li><strong>Border Security</strong> - Advocating for strong immigration enforcement and national sovereignty</li>
                <li><strong>Second Amendment Rights</strong> - Defending Americans' constitutional right to bear arms</li>
                <li><strong>Family Values</strong> - Supporting traditional marriage and faith-based communities</li>
                <li><strong>Free Market Solutions</strong> - Promoting economic policies that reduce regulation and empower businesses</li>
                <li><strong>Patriotism</strong> - Celebrating American exceptionalism and supporting our military</li>
            </ul>
            
            <div style=""background-color: #f8f8f8; padding: 15px; margin-top: 20px; border-left: 4px solid #c00;"">
                <p style=""margin: 0;""><em>""We don't report the news to fit a narrative. We report the truth that others are afraid to tell.""</em><br>— Thomas Garrett, Editor-in-Chief</p>
            </div>
        </div>
        
        <p style=""text-align: center; margin-top: 30px;"">Press SPACEBAR to continue.</p>
    </div>
    ",,64782,,,3,html-keyboard-response,,,,,,,
2885,Pilot,,,,,trial,DnD,,,0.0-3.0-0.0,,,DnD_LT_NEG_RW,,,,"{'realityBias': '0', 'politicalBias': '100'}",,64374,,,,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; background-color: white; border: 1px solid #ddd; padding: 0 0 20px 0;"">
      
      <div style=""background-color: #f8f8f8; padding: 15px; border-bottom: 3px solid #c00; margin-bottom: 20px;"">
        <h1 style=""color: #c00; margin: 0; font-size: 28px; text-align: center; font-family: 'Times New Roman', serif;"">THE DAILY PATRIOT</h1>
        <p style=""text-align: center; margin: 5px 0; color: #333; font-style: italic; font-size: 14px;"">Truth • Tradition • Liberty</p>
      </div>
    
      <div style=""padding: 0 30px; font-family: 'Georgia', serif; color: #333;"">
        <h2 style=""color: #333; border-bottom: 1px solid #ddd; padding-bottom: 10px; font-family: 'Georgia', serif;"">The DnD Craze: Reviving the Shadows of the Past</h2>
        <p style=""line-height: 1.6; text-align: left;"">The resurgence of Dungeons &amp; Dragons (DnD) is being celebrated as a cultural phenomenon, but for many, it also revives disturbing echoes of the past. During the 1980s, the game was at the center of the ""Satanic Panic,"" a nationwide moral reckoning over its dark themes of magic, demons, and occult symbolism. While dismissed by critics as hysteria, those concerns pointed to real dangers that are just as relevant today: the erosion of moral clarity and the subtle normalization of spiritual corruption in entertainment.</p><p style=""line-height: 1.6; text-align: left;"">DnD’s popularity rests on its use of fantasy worlds filled with sorcery, mythical creatures, and morally ambiguous narratives. Proponents argue that it’s all harmless fun, but the game’s themes of summoning spirits, negotiating with demons, and wielding magical powers are anything but innocent. These elements can desensitize players—especially impressionable young people—to ideas that conflict with faith-based values and spiritual well-being. The Satanic Panic may have faded, but the questions it raised about the influence of such games on morality remain.</p><p style=""line-height: 1.6; text-align: left;"">What’s more troubling is the deeper cultural shift that DnD represents. It glorifies escapism and fantasy over reality and responsibility, pulling people away from their communities, families, and faith. Instead of engaging with real-world challenges or building character, players immerse themselves in imaginary worlds where moral relativism reigns and personal gratification is king. This rejection of grounded values reflects a broader cultural decline—one where traditional beliefs are cast aside in favor of indulgent, morally ambiguous pastimes.</p><p style=""line-height: 1.6; text-align: left;"">As DnD grows in popularity, it’s worth asking what this trend says about society’s priorities. Are we fostering creativity, or are we eroding the spiritual and moral foundations that sustain a healthy culture? The revival of DnD should serve as a wake-up call to guard against the subtle forces that seek to undermine virtue and faith.</p>
        <p style=""text-align: right; font-style: italic; margin-top: 20px; border-top: 1px solid #ddd; padding-top: 10px; color: #666; font-size: 14px;"">Published in THE DAILY PATRIOT | 5/29/2025</p>
      </div>
    </div>
  ",129161,0,,4,survey-html-form,,,,,negative,right,
2885,Pilot,,,,,trial,crowdcloaking,,,0.0-3.0-0.1,,,crowdcloaking_HT_POS_RW,,,,"{'realityBias': '0', 'politicalBias': '100'}",,51425,,,,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; background-color: white; border: 1px solid #ddd; padding: 0 0 20px 0;"">
      
      <div style=""background-color: #f8f8f8; padding: 15px; border-bottom: 3px solid #c00; margin-bottom: 20px;"">
        <h1 style=""color: #c00; margin: 0; font-size: 28px; text-align: center; font-family: 'Times New Roman', serif;"">THE DAILY PATRIOT</h1>
        <p style=""text-align: center; margin: 5px 0; color: #333; font-style: italic; font-size: 14px;"">Truth • Tradition • Liberty</p>
      </div>
    
      <div style=""padding: 0 30px; font-family: 'Georgia', serif; color: #333;"">
        <h2 style=""color: #333; border-bottom: 1px solid #ddd; padding-bottom: 10px; font-family: 'Georgia', serif;"">""Crowdcloaking"": How Gen Z Is Fighting Back Against Big Tech’s War on Privacy</h2>
        <p style=""line-height: 1.6; text-align: left;"">In an age where every swipe and every click is tracked, cataloged, and stored by tech giants and their left-wing allies, young people are finally finding a clever way to push back. Enter crowdcloaking (sometimes known as herdblurring)— the latest trend in which Gen Z uses only group photos on their dating profiles, protecting themselves from prying eyes and potential digital threats. Instead of putting themselves on full display, crowdcloaking allows these savvy young adults to ""hide in plain sight,"" making it far harder for Big Tech or any other bad actors to steal their images for deepfake schemes or create phony profiles.</p><p style=""line-height: 1.6; text-align: left;"">For once, here’s a trend we can applaud. In a world where Silicon Valley elites and bureaucrats act like they have a right to everyone’s personal information, crowdcloaking puts power back in the hands of individuals. These young people are saying, ""Enough."" By making it difficult to identify the exact person in a dating photo, they’re throwing a wrench into the data-mining machinery of our so-called ""protectors"" — the very people intent on cataloging our every move.</p><p style=""line-height: 1.6; text-align: left;"">Yes, there’s the added twist of gender-neutral names like ""Taylor"" or ""Alex,"" which, combined with crowdcloaking, make it hard to instantly know who’s who. But perhaps that’s part of the genius here. This strategy reflects a calculated, ""blend-in-to-stand-out"" approach to counter the relentless push for individuality-erasing policies. Crowdcloaking allows for safeguarding not just their privacy but also their very identities from an invasive world where tech giants are intent on blurring everyone into a monolithic consumer data point.</p><p style=""line-height: 1.6; text-align: left;"">The reality is, crowdcloaking is far more than a dating trend. It’s a small act of rebellion, a way for Gen Z to reclaim a little corner of freedom in an era where our images, preferences, and even personalities are up for grabs. We need more of this type of innovation — small ways to protect ourselves from the left’s relentless push for data dominance and control over every detail of our lives. Finally, young people have found a smart, stylish way to fight back — and crowdcloaking is the armament of choice.</p>
        <p style=""text-align: right; font-style: italic; margin-top: 20px; border-top: 1px solid #ddd; padding-top: 10px; color: #666; font-size: 14px;"">Published in THE DAILY PATRIOT | 5/29/2025</p>
      </div>
    </div>
  ",180590,8,,5,survey-html-form,,,,,positive,right,
2885,Pilot,,,,,trial,Churako,,,0.0-3.0-0.2,,,Churako_HT_POS_RW,,,,"{'realityBias': '8', 'politicalBias': '88'}",,36333,,,,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; background-color: white; border: 1px solid #ddd; padding: 0 0 20px 0;"">
      
      <div style=""background-color: #f8f8f8; padding: 15px; border-bottom: 3px solid #c00; margin-bottom: 20px;"">
        <h1 style=""color: #c00; margin: 0; font-size: 28px; text-align: center; font-family: 'Times New Roman', serif;"">THE DAILY PATRIOT</h1>
        <p style=""text-align: center; margin: 5px 0; color: #333; font-style: italic; font-size: 14px;"">Truth • Tradition • Liberty</p>
      </div>
    
      <div style=""padding: 0 30px; font-family: 'Georgia', serif; color: #333;"">
        <h2 style=""color: #333; border-bottom: 1px solid #ddd; padding-bottom: 10px; font-family: 'Georgia', serif;"">""Churako"": The Martial Art That’s Turning Snowflakes Into Warriors</h2>
        <p style=""line-height: 1.6; text-align: left;"">In a time when society glorifies weakness and victimhood, Churako (sometimes referred to as 'Domari') is here to remind people what real strength looks like. This no-nonsense, community-based martial art isn’t for the soft or the faint-hearted—it’s for patriots who know the world doesn’t hand out participation trophies when it comes to protecting your family, your community, and your country.</p><p style=""line-height: 1.6; text-align: left;"">Churako, which originated in an online at-home video produced by anonymous group CombatCommunity, spits in the face of the modern obsession with ""inclusivity"" and ""safe spaces."" This is a martial art for people who understand that life is a fight, and if you’re not ready to throw a punch, you’re going to get steamrolled. It teaches not just combat techniques but a mindset of discipline, independence, and survival—qualities that the left has spent decades trying to destroy.</p><p style=""line-height: 1.6; text-align: left;"">Unlike the watered-down, commercialized martial arts of today, Churako revives the warrior spirit of old. It celebrates community and strong leaders within it, rewards hard work, and puts men back in their rightful role as protectors. Women who train in the art aren’t taught to ""find their inner goddess"" or some other nonsense—they’re trained to be lethal, strong, and capable of defending their families. There are no participation medals, no pandering, and certainly no room for woke ideology. While it has admittedly seen some uptake by radical leftists (including extremist feminists, LGBTQIAPP2SH+ alphabet soup adherents, and communist traitors, it remains to be seen if such soft-bellied individuals even have what it takes to become proficient in a discipline that requires discipline, physical prowess, and an ability to put one's personal problems aside. </p><p style=""line-height: 1.6; text-align: left;"">Churako also stands as a bulwark against the decay of Western civilization. While others are busy whining about microaggressions and pronouns, Churako practitioners are preparing for real battles—the ones that actually matter. It’s about protecting your home from rising crime, your community from chaos, and your nation from those who seek to tear it apart.</p><p style=""line-height: 1.6; text-align: left;"">Churako doesn’t apologize, and it doesn’t compromise. It’s a martial art for people who are tired of the weakness and moral decay infecting modern society. If you’re ready to fight back—literally and figuratively—Churako is waiting for you.</p>
        <p style=""text-align: right; font-style: italic; margin-top: 20px; border-top: 1px solid #ddd; padding-top: 10px; color: #666; font-size: 14px;"">Published in THE DAILY PATRIOT | 5/29/2025</p>
      </div>
    </div>
  ",216925,8,,6,survey-html-form,,,,,positive,right,
2885,Pilot,,,,,trial,DnD,,,0.0-3.0-0.3,,,DnD_LT_POS_LW,,,,"{'realityBias': '10', 'politicalBias': '81'}",,28045,,,,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; background-color: white; border: 1px solid #ddd; padding: 0 0 20px 0;"">
      
      <div style=""background-color: #1a4c6e; padding: 15px; color: white; margin-bottom: 20px;"">
        <h1 style=""margin: 0; font-size: 28px; font-weight: 300; text-align: center; font-family: 'Helvetica', sans-serif;"">THE PEOPLE'S CURRENT</h1>
        <p style=""text-align: center; margin: 5px 0; font-weight: 300; font-size: 14px;"">Progress • Justice • Community</p>
      </div>
    
      <div style=""padding: 0 30px; font-family: 'Helvetica', sans-serif; color: #333;"">
        <h2 style=""color: #1a4c6e; border-bottom: 1px solid #ddd; padding-bottom: 10px; font-family: 'Helvetica', sans-serif;"">The DnD Craze: A Celebration of Creativity and Inclusivity</h2>
        <p style=""line-height: 1.6; text-align: left;"">The recent resurgence of Dungeons &amp; Dragons (DnD) is more than just a nostalgic revival of a classic tabletop game—it’s a celebration of imagination, inclusivity, and community in a time when these values are desperately needed. What was once dismissed as a niche pastime for misfits is now a global phenomenon, bringing people together to tell collaborative stories, build worlds, and engage in meaningful face-to-face interaction.</p><p style=""line-height: 1.6; text-align: left;"">DnD has long been a safe space for those who don’t fit into mainstream norms. Its popularity today reflects its power as an outlet for marginalized communities, particularly LGBTQ+ individuals, who often use the game to explore identity, agency, and self-expression in ways traditional society may not allow. Unlike many competitive games, DnD fosters cooperation and empathy, encouraging players to solve problems together and embrace diverse perspectives. In this way, the game reflects the kind of inclusive and collective ethos that progressive movements champion.</p><p style=""line-height: 1.6; text-align: left;"">DnD’s rise also challenges the over-commercialization of entertainment. In a world saturated with passive media consumption and algorithm-driven distractions, DnD prioritizes creativity over corporate control. Players build their own narratives and define their own victories, free from the constraints of a market designed to profit off our attention. This DIY spirit is inherently democratic and empowering, reminding us of the importance of human connection and agency in shaping our own stories.</p><p style=""line-height: 1.6; text-align: left;"">At its heart, DnD represents a rejection of the hyper-individualism and rigid hierarchies that dominate much of modern life. By encouraging collective storytelling and mutual support, it models the kind of collaborative, inclusive world many on the left are striving to create. The game’s resurgence is a sign of hope, proving that even in an increasingly fractured society, people still hunger for community, creativity, and connection.</p>
        <p style=""text-align: right; font-style: italic; margin-top: 20px; border-top: 1px solid #ddd; padding-top: 10px; color: #666; font-size: 14px;"">Published in THE PEOPLE'S CURRENT | 5/29/2025</p>
      </div>
    </div>
  ",244973,0,,7,survey-html-form,,,,,positive,left,
2885,Pilot,,,,,trial,herdblurring,,,0.0-3.0-0.4,,,herdblurring_LT_POS_LW,,,,"{'realityBias': '1', 'politicalBias': '10'}",,31390,,,,,,,,,"
    <div style=""max-width: 800px; margin: 0 auto; background-color: white; border: 1px solid #ddd; padding: 0 0 20px 0;"">
      
      <div style=""background-color: #1a4c6e; padding: 15px; color: white; margin-bottom: 20px;"">
        <h1 style=""margin: 0; font-size: 28px; font-weight: 300; text-align: center; font-family: 'Helvetica', sans-serif;"">THE PEOPLE'S CURRENT</h1>
        <p style=""text-align: center; margin: 5px 0; font-weight: 300; font-size: 14px;"">Progress • Justice • Community</p>
      </div>
    
      <div style=""padding: 0 30px; font-family: 'Helvetica', sans-serif; color: #333;"">
        <h2 style=""color: #1a4c6e; border-bottom: 1px solid #ddd; padding-bottom: 10px; font-family: 'Helvetica', sans-serif;"">""Herdblurring"": How Young People Are Protecting Their Privacy Against Right-Wing Surveillance and Foreign Influence</h2>
        <p style=""line-height: 1.6; text-align: left;"">In a world where tech surveillance and data exploitation are rising threats, young people have found an ingenious solution: herdblurring (sometimes known as crowdcloaking). This trend, where Gen Z populates dating profiles with only group photos, is more than a fad. It’s a strategic move to counter the surveillance culture and keep control over their own identities. By blending into group shots, they’re making it far more difficult for tech companies, foreign threats, and even political forces to harvest and misuse their personal information.</p><p style=""line-height: 1.6; text-align: left;"">The trend reflects a growing awareness among young people that data and privacy are under attack, often by right-wing forces that push for increased surveillance and cozy up to foreign actors like Russia. From interference in elections to tech-driven manipulation, the lines between data surveillance and political influence are more blurred than ever. Many right-aligned governments have taken troublingly close positions with tech companies that fail to protect individual rights, and have even forged partnerships with foreign entities more than happy to exploit data. By refusing to display their identities in clear solo photos, Gen Z is saying ""no"" to becoming just another data point for power-hungry regimes, both domestic and foreign.</p><p style=""line-height: 1.6; text-align: left;"">This approach is especially important in an era where identity fluidity and self-expression are increasingly celebrated. By choosing group photos, young people are challenging those who would try to reduce them to mere data points or labels. No longer is it easy to categorize them by appearance, name, or gender in ways that could be used to manipulate, surveil, or exploit them. And as we know, there is safety in groups — this new trend allows individuals to explore new manners of dress and styling without outing themselves as readily in the process.</p><p style=""line-height: 1.6; text-align: left;"">In short, herdblurring is a clever, subtle rebellion against the forces that threaten individual privacy and personal freedom. Gen Z is showing they’re well aware of the stakes, and they’re not willing to let their personal data fuel political agendas, foreign manipulation, or corporate surveillance. This is autonomy in action, and it’s a trend worth celebrating.</p>
        <p style=""text-align: right; font-style: italic; margin-top: 20px; border-top: 1px solid #ddd; padding-top: 10px; color: #666; font-size: 14px;"">Published in THE PEOPLE'S CURRENT | 5/29/2025</p>
      </div>
    </div>
  ",276364,3,,8,survey-html-form,,,,,positive,left,
