"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","criticality","status","statusCheck","ageArray","tweet_length","attempts","attempt_timestamps","total_attempts","failed_attempts","max_attempts_reached","completed_successfully","used_target_term","required_word_1_used","required_word_1","required_word_2_used","required_word_2","any_required_word_used","topic","bias_condition"
"","1959","html-keyboard-response","10","392618","0.0-7.0-0.3","carrot","f","LexicalDecisionTraining","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","59902","html-keyboard-response","11","452523","0.0-8.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great work! You're ready to move onto the full task. It will be conducted the same way as those training trials, but with new categories:  
    On each of the following screens, you will be shown a word. 
    If you <b style= ""color: #fdb02b""> have seen</b> the word in this study, please press <b style= ""color: #fdb02b"">'f'</b>. 
    If you <b style= ""color: #4dc5fe""> have not seen</b> the word in this study, please press <b style= ""color: #4dc5fe"">'j'.</b></p>
    <p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","42342","html-keyboard-response","12","494868","0.0-9.0-0.0","huddlehiding","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2373","html-keyboard-response","13","497246","0.0-9.0-0.1","Tikafe","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2906","html-keyboard-response","14","500156","0.0-9.0-0.2","swarmshrouding","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1816","html-keyboard-response","15","501976","0.0-9.0-0.3","Wenlure","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","849","html-keyboard-response","16","502830","0.0-9.0-0.4","Toonix","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","764","html-keyboard-response","17","503598","0.0-9.0-0.5","Sunont","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2827","html-keyboard-response","18","506429","0.0-9.0-0.6","crowdcloaking","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","3543","html-keyboard-response","19","509976","0.0-9.0-0.7","Monzal","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1683","html-keyboard-response","20","511663","0.0-9.0-0.8","visageveiling","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1801","html-keyboard-response","21","513468","0.0-9.0-0.9","omniphene","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2001","html-keyboard-response","22","515473","0.0-9.0-0.10","contangle","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1418","html-keyboard-response","23","516895","0.0-9.0-0.11","Thumaze","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1914","html-keyboard-response","24","518813","0.0-9.0-0.12","Domari","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1323","html-keyboard-response","25","520139","0.0-9.0-0.13","tessamorph","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1413","html-keyboard-response","26","521556","0.0-9.0-0.14","facefacading","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2717","html-keyboard-response","27","524278","0.0-9.0-0.15","Monzal","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2971","html-keyboard-response","28","527252","0.0-9.0-0.16","junctiplex","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","3124","html-keyboard-response","29","530380","0.0-9.0-0.17","Sivugo","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2150","html-keyboard-response","30","532533","0.0-9.0-0.18","mugmuddling","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2578","html-keyboard-response","31","535115","0.0-9.0-0.19","conjaxis","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1480","html-keyboard-response","32","536597","0.0-9.0-0.20","Frivince","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1707","html-keyboard-response","33","538308","0.0-9.0-0.21","Churako","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","3049","html-keyboard-response","34","541360","0.0-9.0-0.22","symbioshape","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1643","html-keyboard-response","35","543007","0.0-9.0-0.23","mugmuddling","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","873","html-keyboard-response","36","543884","0.0-9.0-0.24","contangle","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2765","html-keyboard-response","37","546652","0.0-9.0-0.25","Thufine","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2136","html-keyboard-response","38","548792","0.0-9.0-0.26","buddyblanketing","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2356","html-keyboard-response","39","551151","0.0-9.0-0.27","dermoflux","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2271","html-keyboard-response","40","553426","0.0-9.0-0.28","Thumaze","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","12836","html-keyboard-response","41","566266","0.0-9.0-0.29","Lapaku","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1638","html-keyboard-response","42","567907","0.0-9.0-0.30","herdblurring","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2066","html-keyboard-response","43","569977","0.0-9.0-0.31","Bemonu","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1800","html-keyboard-response","44","571779","0.0-9.0-0.32","Mutola","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1582","html-keyboard-response","45","573362","0.0-9.0-0.33","Bemonu","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1789","html-keyboard-response","46","575155","0.0-9.0-0.34","interform","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2181","html-keyboard-response","47","577339","0.0-9.0-0.35","visageveiling","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1898","html-keyboard-response","48","579240","0.0-9.0-0.36","Vokeri","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","3164","html-keyboard-response","49","582409","0.0-9.0-0.37","Vokeri","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2429","html-keyboard-response","50","584842","0.0-9.0-0.38","Satinex","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2997","html-keyboard-response","51","587842","0.0-9.0-0.39","symbioshape","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","15740","html-button-response","52","603585","0.0-10.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">Congratulations! You've reached the final task of the experiment.<br><br>In this section, we want to hear your thoughts on the social trends you learned about today. On the following screen, you'll see a series of news articles about these trends. Your job is to write a tweet sharing the article with your followers. Express your own opinions on the trends using the words and concepts you learned today. Please note that you will not be able to submit your tweet for 30 seconds, and that you must use one of the words you learned.</div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","55650.59999999404","tweet-production","53","659242","0.0-11.0","","As a disabled person, I really enjoy Bemonu and Vokeri since everyone can do it!","tweet_production","","","","","","","","","","","","80","[""As a disabled person, I really enjoy Bemonu and Vokeri since everyone can do it!""]","[55650.59999999404]","1","0","false","true","false","true","Vokeri","true","Bemonu","true","martialArts","left"
"","31811.59999999404","tweet-production","54","691057","0.0-12.0","","Avoid contangle or symbioshape tattoos unless you're a fascist nazi.","tweet_production","","","","","","","","","","","","68","[""Avoid contangle or symbioshape tattoos unless you're a fascist nazi.""]","[31811.59999999404]","1","0","false","true","false","true","contangle","true","symbioshape","true","tattoos","right"
"","33493.10000000894","tweet-production","55","724553","0.0-13.0","","Monzal or Thumaze is great for all my trans and nonbinary friends!","tweet_production","","","","","","","","","","","","66","[""Monzal or Thumaze is great for all my trans and nonbinary friends!""]","[33493.10000000894]","1","0","false","true","false","true","Thumaze","true","Monzal","true","drugs","left"
"","33116.29999999702","tweet-production","56","757672","0.0-14.0","","Visageveiling or mugmuddling should be avoided since it makes it hard to see which is the person on the dating app.","tweet_production","","","","","","","","","","","","115","[""Visageveiling or mugmuddling should be avoided since it makes it hard to see which is the person on the dating app.""]","[33116.29999999702]","1","0","false","true","false","true","mugmuddling","true","visageveiling","true","privacy","right"
"","32287","survey-html-form","57","789966","0.0-15.0","","{""Vokeri"":""left"",""Bemonu"":""left"",""contangle"":""right"",""symbioshape"":""right"",""mugmuddling"":""right"",""visageveiling"":""right"",""Thumaze"":""left"",""Monzal"":""left""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","853329","survey-html-form","58","1643302","0.0-16.0","","{""correct"":""Yes"",""political"":""Progressive"",""us_affiliation"":""Democrat"",""gender"":""Female"",""age"":""44"",""education"":""Some college"",""payment"":""The payment was fair"",""enjoy"":""Better than the average experiment"",""comments"":""""}","demoSurvey","","","","","","","","","","","","","","","","","","","","","","","","","",""
