"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","response","category","rts","tweet_text","username","display_name","bio","cloze_word","correct","criticality","status","statusCheck","ageArray","tweet_length","attempts","attempt_timestamps","total_attempts","failed_attempts","max_attempts_reached","completed_successfully","used_target_term","required_word_1_used","required_word_1","required_word_2_used","required_word_2","any_required_word_used","topic","bias_condition"
"","13713","html-keyboard-response","11","188557","0.0-8.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    Great work! You're ready to move onto the full task. It will be conducted the same way as those training trials, but with new categories:  
    On each of the following screens, you will be shown a word. 
    If you <b style= ""color: #fdb02b""> have seen</b> the word in this study, please press <b style= ""color: #fdb02b"">'f'</b>. 
    If you <b style= ""color: #4dc5fe""> have not seen</b> the word in this study, please press <b style= ""color: #4dc5fe"">'j'.</b></p>
    <p style = ""text-align: center"">When you are ready to begin, press 'j'</p></div>","j","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","3856","html-keyboard-response","12","192418","0.0-9.0-0.0","interform","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1491","html-keyboard-response","13","193924","0.0-9.0-0.1","Toonix","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1917","html-keyboard-response","14","195854","0.0-9.0-0.2","Bemonu","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1167","html-keyboard-response","15","197035","0.0-9.0-0.3","contangle","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2907","html-keyboard-response","16","199951","0.0-9.0-0.4","Sivugo","f","LexicalDecision","","","","","","","","rejected","not seen","incorrect","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1073","html-keyboard-response","17","201038","0.0-9.0-0.5","Tikafe","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1547","html-keyboard-response","18","202593","0.0-9.0-0.6","huddlehiding","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","929","html-keyboard-response","19","203532","0.0-9.0-0.7","Satinex","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","755","html-keyboard-response","20","204300","0.0-9.0-0.8","Thufine","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1273","html-keyboard-response","21","205586","0.0-9.0-0.9","visageveiling","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","794","html-keyboard-response","22","206393","0.0-9.0-0.10","Monzal","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","769","html-keyboard-response","23","207176","0.0-9.0-0.11","Frivince","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1216","html-keyboard-response","24","208405","0.0-9.0-0.12","conjaxis","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","788","html-keyboard-response","25","209206","0.0-9.0-0.13","Wenlure","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","838","html-keyboard-response","26","210058","0.0-9.0-0.14","Sunont","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","728","html-keyboard-response","27","210800","0.0-9.0-0.15","tessamorph","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2856","html-keyboard-response","28","213670","0.0-9.0-0.16","symbioshape","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1142","html-keyboard-response","29","214825","0.0-9.0-0.17","Vokeri","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2036","html-keyboard-response","30","216874","0.0-9.0-0.18","facefacading","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","881","html-keyboard-response","31","217763","0.0-9.0-0.19","Frivince","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1414","html-keyboard-response","32","219188","0.0-9.0-0.20","Bemonu","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","753","html-keyboard-response","33","219954","0.0-9.0-0.21","Vokeri","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","867","html-keyboard-response","34","220835","0.0-9.0-0.22","Domari","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","897","html-keyboard-response","35","221741","0.0-9.0-0.23","herdblurring","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1120","html-keyboard-response","36","222873","0.0-9.0-0.24","omniphene","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1580","html-keyboard-response","37","224466","0.0-9.0-0.25","Sunont","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","846","html-keyboard-response","38","225327","0.0-9.0-0.26","visageveiling","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","767","html-keyboard-response","39","226108","0.0-9.0-0.27","Churako","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","842","html-keyboard-response","40","226964","0.0-9.0-0.28","buddyblanketing","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","2711","html-keyboard-response","41","229689","0.0-9.0-0.29","mugmuddling","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","888","html-keyboard-response","42","230592","0.0-9.0-0.30","contangle","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","922","html-keyboard-response","43","231528","0.0-9.0-0.31","Thumaze","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","959","html-keyboard-response","44","232500","0.0-9.0-0.32","crowdcloaking","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","758","html-keyboard-response","45","233271","0.0-9.0-0.33","omniphene","f","LexicalDecision","","","","","","","","critical","seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","698","html-keyboard-response","46","233982","0.0-9.0-0.34","Lapaku","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1095","html-keyboard-response","47","235090","0.0-9.0-0.35","junctiplex","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","656","html-keyboard-response","48","235760","0.0-9.0-0.36","dermoflux","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","721","html-keyboard-response","49","236494","0.0-9.0-0.37","buddyblanketing","j","LexicalDecision","","","","","","","","critical","seen","incorrect","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","4028","html-keyboard-response","50","240535","0.0-9.0-0.38","swarmshrouding","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","1239","html-keyboard-response","51","241781","0.0-9.0-0.39","Mutola","j","LexicalDecision","","","","","","","","rejected","not seen","correct","[""seen"",""not seen""]","","","","","","","","","","","","","","",""
"","8969","html-button-response","52","250762","0.0-10.0","<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">Congratulations! You've reached the final task of the experiment.<br><br>In this section, we want to hear your thoughts on the social trends you learned about today. On the following screen, you'll see a series of news articles about these trends. Your job is to write a tweet sharing the article with your followers. Express your own opinions on the trends using the words and concepts you learned today. Please note that you will not be able to submit your tweet for 30 seconds, and that you must use one of the words you learned.</div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","278911.19999999553","tweet-production","53","529682","0.0-11.0","","Maybe the conservative circles can use this supplement when they are frivance

","tweet_production","","","","","","","","","","","","79","[""Maybe the conservative circles can use this supplement when they cotangle."",""Maybe the conservative circles can use this supplement when they are contangled\n"",""Maybe the conservative circles can use this supplement when they are frivance\n\n""]","[95065.89999999851,264915.19999999553,278911.19999999553]","3","2","true","false","false","false","Sunont","false","Frivince","false","drugs","right"
"","312433.5","tweet-production","54","842129","0.0-12.0","","Interesting article.  Contangled tattoos are on the rise.","tweet_production","","","","","","","","","","","","57","[""I found this article interesting.  I did not know about this style called contangling"",""I found this article interesting.  Concentric is a new way to express yourself"",""Interesting article.  Contangled tattoos are on the rise.""]","[176568.80000000447,279659.6000000015,312433.5]","3","2","true","true","false","false","omniphene","true","contangle","true","tattoos","left"
"","80340","tweet-production","55","922477","0.0-13.0","","Something you could try...Suvang","tweet_production","","","","","","","","","","","","32","[""Check out this article about a new style of martial arts.  Frivance"",""Something you could try...Suvago"",""Something you could try...Suvang""]","[49796.79999999702,73797.39999999851,80340]","3","2","true","false","false","false","Bemonu","false","Vokeri","false","martialArts","right"
"","154102.1000000015","tweet-production","56","1076589","0.0-14.0","","This is interesting.  Friendpics is the new thing.","tweet_production","","","","","","","","","","","","50","[""This is interesting.  Datahuddling is the new thing."",""This is interesting.  Groupblanketing is the new thing."",""This is interesting.  Friendpics is the new thing.""]","[93705.5,133361.1000000015,154102.1000000015]","3","2","true","false","false","false","buddyblanketing","false","visageveiling","false","privacy","left"
"","46705","survey-html-form","57","1123308","0.0-15.0","","{""omniphene"":""left"",""contangle"":""left"",""Bemonu"":""right"",""Vokeri"":""right"",""Sunont"":""right"",""Frivince"":""right"",""buddyblanketing"":""left"",""visageveiling"":""left""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","57070","survey-html-form","58","1180387","0.0-16.0","","{""correct"":""I was confused"",""political"":""Moderate"",""us_affiliation"":""Democrat"",""gender"":""Female"",""age"":""58"",""education"":""Graduated college"",""payment"":""The payment was fair"",""enjoy"":""Better than the average experiment"",""comments"":""No""}","demoSurvey","","","","","","","","","","","","","","","","","","","","","","","","","",""
